ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152
2000,body,dislike,unhappy,gross,unwell,weak,sad,unhappy,happy,glad,relieved,grin,smile,frown,upset,grumpy,annoyd,enraged,fight,punch,kick,injure,injury,hospital,doctor,health,sickness,cancer,dying,death,life,living,breathing,inhale,exhale,relax,meditate,meditation,peace,tranquility,ease,wellness,well-being,age,young,old,adulthood,stress,worries,thoughts,dreams,nightmares,chased,persued,escape,avoid,avoidant,hermit,loner,alone,nobody,somebody,someone,meet,greet,encounter,chance,approachable,greeting,chat,speak,talk,conversation,communication,ideas,brainstorm,thinking,planning,learning,teaching,teacher,educate,education,school,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,water,wet,dry,heat,sun,hot,cold,freezing,snow,fun,snowman,ice,drink,cold,breath,swallow,throat,neck,tie,equal,plus,minus,subtract,add,more,bird,fly,wing,broken,fixed,right,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,water,dock,girls,forest,trees,road,driving,careless,woman,husband,beer,whiskey,table,eggs,breakkfast,company,murder,unknown,cops,criminal,funeral,deceased,close,far,distracted,driving,quiet,lanes,honk,cars,green,brown,waved,hands,silent,straight,careless,visit,suspicious,call,unknown,suspect,wusband,wife,visiters,staying,lodging,mysterious,traveling,road,cars,trucks,pickup,groveries,store,beer,whiskey,brown,bottle,drunk,sitting,standing,outside,grass,trees,calm,sunny,bright,warm,sun,clouds,sky,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,water,fresh,fruit,yummy,pasta,carbs,bad,bloat,gas,car,crash,hospital,doctor,quack,duck,water,ocean,sharks,dolphins,sunset,beach,sand,castle,princess,prince,king,cards,game,family,nephew,annoying,talkative,noise,music,headphones,broken,heart,kidneys,uncle,diabetes,grandma,dead,cremation,dad,childhood,tractor,loud,kids,fun,rollercoaster,adrenaline,fear,snakes,gross,disgusting,germs,sneezing,cold,sick,doctor,medicine,stupid,intelligence,school,library,books,reading,romance,love,heartbreak,sad,crying,headache,pain,pills,doctor,annoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,water,fire,hydrant,water,boat,fishing,line,rod,reel,film,kodak,camera,pictures,drawings,pencil,pen,signature,name,call,phone,dial,soap,shower,clean,water,bucket,mop,janitor,overalls,grey,snow,build,ice,slip,fall,leaves,orange,peel,banana,yellow,playdoh,clay,mud,brown,derby,hat,cane,candy,skittles,mars,jupiter,moon,astronaut,buggy,dune,sand,egypt,pyramids,pharoahs,beard,hair,bear,grizzly,teeth,brush,hair,cut,barber,actor,actress,movie,award,prize,medal,soldier,helmet,strap,motorcycle,sidecar,clown,nose,mustache,mouth,chin,boxer,punch,glass,window,fog,mist,humid,wet,water,drink,glass,cup,shake,dance,floor,polish,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,body,dead,murder,disgust,wrong,carelessness,irresponsible,young,inexperienced,uninformed,ignorant,uneducated,poor,reckless,fault,flaw,tragedy,crying,sad,depressed,beaten,less,incapable,determined,pressure,failure,loss,competition,unfair,predetermined,rigged,privileged,helped,easy,advantage,disadvantage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,water,food,hungry,satisfied,sex,woman,pretty,looks,body,dead,corpse,funeral,tomb,vampire,blood,hemoglobin,biology,study,school,teacher,lesson,instructions,package,box,cardboard,paper,writing,drawing,pencil,pen,ink,black,night,stars,moon,howl,wolf,paws,scratch,eyes,see,,vision,glasses,frames,paintings,art,masters,slaves,chains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,body,dead,girl,river,fishing,trip,friends,beer,wife,son,hairdresser,gossip,funeral,murder,procession,drive,country,remote,alone,scared,suspicious,denial,lie,truth,disregard,selfish,misconstrued,story,movie,author,writer,scribe,book,story,camp,cook,coffee,beer,cigarettes,backyard,house,kitchen,note,sofa,chair,window,door,lock,worry,fret,guitar,music,instrument,stand,sit,bench,table,park,picnic,basket,bowl,plate,spoon,fork,napkin,towel,swim,shower,bath,tub,bubbles,soap,wet,dry,clean,di,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,body,part,arm,leg,head,tongue,elbow,knee,eye,nose,teeth,lips,eyelashes,hair,ears,toes,fingers,knuckles,thigh,butt,back,shoulders,athlete,running,smooth,limber,flexible,happy,working,fun,athletic,exercise,persistence,nutrition,vitamins,minerals,laughing,happy,euphoric,health,fish,oil,brain,vitamind,cooking,feel,good,smiles,research,friends,informing,highschool,memories,football,grades,classes,smiles,families,holidays,brothers,parents,jobs,college,saving,time,girlfriend,loving,sexy,time,consuming,kids,busy,sweet,cuddling,family,car,payments,money,account,bank,fulton,credit,history,funding,patience,bills,organization,effort,neel,charlie,trust,factors,dolls,hair,braids,loving,gone,watches,silver,gold,decorate,love,supplements,boxing,running,endurance,test,lab,doctor,prescription,appointments,money,cost,insurance,helpful,workers,smiles,information,time,consistent,quality,of,life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,body,mind,thought,learning,education,school,classes,improvement,beneficial,positive,negative,downside,upside,optimistic,happy,cheerful,cheerleader,football,game,fun,joy,happiness,sadness,depression,illness,hospital,medical,doctor,nurse,care,bear,wild,animal,dog,cat,scratch,sniff,smell,senses,sight,seeing,believing,faith,religion,prayer,hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
