ID,cue,word  1,word  2,word  3,word  4,word  5,word  6,word  7,word  8,word  9,word  10,word  11,word  12,word  13,word  14,word  15,word  16,word  17,word  18,word  19,word  20,word  21,word  22,word  23,word  24,word  25,word  26,word  27,word  28,word  29,word  30,word  31,word  32,word  33,word  34,word  35,word  36,word  37,word  38,word  39,word  40,word  41,word  42,word  43,word  44,word  45,word  46,word  47,word  48,word  49,word  50,word  51,word  52,word  53,word  54,word  55,word  56,word  57,word  58,word  59,word  60,word  61,word  62,word  63,word  64,word  65,word  66,word  67,word  68,word  69,word  70,word  71,word  72,word  73,word  74,word  75,word  76,word  77,word  78,word  79,word  80,word  81,word  82,word  83,word  84,word  85,word  86,word  87,word  88,word  89,word  90,word  91,word  92,word  93,word  94,word  95,word  96,word  97,word  98,word  99,word  100,word  101,word  102,word  103,word  104,word  105,word  106,word  107,word  108,word  109,word  110,word  111,word  112,word  113,word  114,word  115,word  116,word  117,word  118,word  119,word  120,word  121,word  122,word  123,word  124,word  125,word  126,word  127,word  128,word  129,word  130,word  131,word  132,word  133,word  134,word  135
2000,body,image,picture,frame,lense,camera,window,house,chimney,pot,flower,bee,,wings,flight,aeroplane,sky,clouds,rain,growth,death,sleep,dreams,imagination,creativity,art,painting,paint,red,apple,worm,farm,cattle,cow,milk,cream,cheese,mouse,cat,claws,teeth,dentist,drill,holes,sewer,underground,catacombs,gothic,vampires,bat,night,stars,silence,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2001,water,flow,jug,milk,cow,calf,baby,cry,laugh,happy,smile,teeth,white,colour,rainbow,gold,jewellery,diamond,rock,cave,damp,wet,dry,sand,desert,oasis,shop,house,door,window,outside,view,sky,blue,sapphire,ruby,red,fire,burnt,toast,bread,sandwich,ham,pig,greedy,hungry,horse,hunt,gun,death,cemetary,gravestone,names,register,school,lesson,english,french,wine,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2004,water,land,air,fire,hot,cold,ice,sea,boat,ship,air,rifle,soldier,tank,gun,mortar,artillery,barrage,balloon,water,party,cake,candle,wind,blow,storm,tempest,play,games,board,chess,player,console,game,video,dragon,smaug,lord,sauron,orc,tower,ring,pike,hbbit,shire,county,class,destoryer,frigate,sloop,sail,age,steam,coal,iron,smelt,furnace,heat,molten,steel,rivet,hull,plate,propeller,funnel,bridge,compass,direction,voyage,explore,tent,mountain,climb,fall,rope,crampon,boot,football,rugby,score,try,penalty,line,fly,half,line,hat,mad,tea,party,scone,butter,jam,cremdairy,cow,farm,sheep,goat,pet,pig,chickens,acre,pasture,field,forest,trees,birds,owl,catch,egg,hunt,easter,cross,jewellery,box,gift,pr, , , , , , , , , , , , , , , , , ,
2005,water,tree,gree,green,grocer,shop,road,street,houses,windows,glass,broken,empty,hole,gap,fill,complete,finish,end,beginning,start,fresh,vegetables,fruit,banaba,banana,yellow,colour,blue,sea,sky,beach,sand,grains,salt,pepper,spicy,food,meals,dinner,family,mother,father,sister,distance,travel,trip,train,station,buffet,tickets,guard,seat,carriage,window,aeroplane,pressure,noise,quiet,peace,lonely,silent,alone,realxing,realxing,relaxing,bath,bubble,champagne,celebration,party,loud,music,spotify,playlist,teenage,cassette,walkman,recording, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2006,water,oxygen,air,clouds,rain,snow,cold,warm,hot,cool,warm,rain,snow,slush,melt,freeze,thaw,melt,dry,wet,rain,dry,muggy,humid,dust,dirt,pollen,sneeze,cough,flu,covid,virus,sick,vaccine,sick,awful,enough,tired,finished,done,tired,sleep,awake,nap,snore,dream,nightmare,toss,turn,restless,bed,comforter,warmth,blanket,throw,afghan,freeze,frozen,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2007,body,weight,gain,weight,gain,muscle,mass,objects,life,work,force,air,plane,air,tight,fitting,word,game,stage,crew,work,force,blade,fight,time,lapse,run,time,passed,subjects,passed,challenge,battle,force,muscle,gain,weight,loss,money,market,value,mart,product,price,check,in,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2008,water,drop,wet,hot,summer,tan,sweat,stink,shower,soap,clean,wash,body,men,woman,sex,attraction,love,family,happy,fun,joy,children,careless,childhood,bike,fast,car,guy,young,happy,travel,italy,architecture,monument,stone,hard,earth,sky,planets,space,rocket,fire,night,place,stars,couple,hike,mountain,ice,cold,sun,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2009,water,wet,bucket,handle,glove,coat,hat,scarf,shoes,feet,trousers,cag,trunks,sea,fish,boat,sail,wind,sun,cloud,rain,river,bridge,road,tyre,car,lorry,load,bay,crane,girder,metal,weld,heat,gat,oxygen,hydrogen,sulphur,matches,fire,wood,pan,camp,tent,cloth,cord,groundsheet,sleepingbag,rucksack,map,compass,horizon,north,west,wind,stars,space,planets,meteorites,impact,desert,mountain,breeze,rock,piton,rope,nut,ascender,ascent,summit,descent,valley,woods,leaves,green,chlorophyll,carbon,oxygen, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2010,body,part,time,clock,watch,tower,castle,moat,dragon,tacos,beef,cow,methane,ozone,space,moon,cheese,pizza,italy,soccer,football,college,michigan,state,us,country,canada,junior,olympics,sports,baseball,bat,poop,cow,farm,corn,hole,shovel,dig,dirt,ground,walk,run,baseball,ball,basketball,jump,fall,winter,snow,shovel,hole,dirt,bulldozer,construction,traffic,driving,radio,music,concerts,violin,piano,trumpet,oboe,viola,tuba,brums,drums,beat,tempo,golf,clubs,balls,green,grass,lawnmower,chores,dusting,cleaning,laundry,folding,organize,closet,shoes,walking,excesise,bycicle,spin,blender,smoothie,shake,rattle,roll,stop,trafficsign,driving,license,hunting,deer,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,water,pond,duck,birs,bird,sky,cloud,rainbow,pride,marriage,love,valentine,heart,lung,patient,kind,close,friend,mom,dad,golf,golfcart,club,dance,newyears,date,drinks,beer,brewing,garage,cold,spaceheater,fireplace,stove,boil,water,filter,toxins,virus,covid,isolation,fear,strength,distancing,journey,artist,watercolor,leaves,berries,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
