ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147
2000,plane,air,sky,cloud,bird,ocean,fly,swim,fish,shark,hunting,arrow,scuba,blood,injured,treasure,gold,pirates,eyepatch,eye,optometrist,doctor,appointment,phonecall,anxiety,scared,strangers,public,subway,trainstation,travelling,passenger,briefcase,bomb,terrorist,foreigner,world,culture,travelling,airbnb,hotel,pillow,quilt,sheets,target,shopping,cart,red,groceries,creditcard,pay,bankaccount,money,savings,debt,interest,lesson,school,kids,coats,playground,summer,popsicles,poolside,toys,watermelon,lemonaide,straw,plastic,recycling,bin,dumpster,semitruck,gasoline,ethanol,highway,potholes,tires,inflation,economy,stockmarket,unemployment,rich,homeless,charity,churches,religion,jesus,mary,cross,statue,garden,flowers,spring,birds,worms,compost,garden,vegetables,stirfry,cooking,spatchula,dishes,washing,gloves,yardwork,mowing,gas,sandals,summer,beach,towel,shower,water,drink,bottle,economical,thrifty,appearances,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2001,secret,box,red,car,sports,basketball,technical,foul,flagrant,painful,malicious,evil,bad,life,short,line,store,clothes,apparrel,shoes,watch,digital,technology,world,generation,evolution,mankind,homosapien,improvement,health,medicine,vaccine,shot,gun,lethal,critical,paralyzed,motionless,dead,grave,underground,digging,dirty,smelly,armpit,deodorant,fragrance,perfume,lovely,emotions,happiness,moments,global,economy,president,ruler,foot,meter,yard,pound,kilo,gram,graham,food,pasta,italy,pizza,pepperoni,tasty,fulfilling,pleasure,short,satisfied,boat,water,ship,flood,gate,locked,door,open,mailbox,package,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2002,secret,tunnel,hole,dig,dog,bark,tree,leaves,rake,fall,pumpkin,carve,meat,red,balloon,birthday,cake,dessert,sweet,candy,hard,difficult,math,school,class,grades,good,happy,fun,laughing,jokes,comedy,shows,television,sitting,tired,sleepy,awake,morning,coffee,black,night,stars,telescope,watching,waiting,bored,bus,stop,riding,mall,shopping,bags,carrying,heavy,strain,stress,burden,load,washing,coins,change,quarters,jingle,bells,cat,meow,pounce,run,fast,hurry,forward,moving,rolling,stone,rock,throw,toss,ball,catch,surprise,gift,present,wrapped,tear,rip,shred,cheese,grater,cooking,vegetables,chop,weigh,measure,diet,calorie,fat,jiggle,squeeze,uncomfortable,tight,ache,sore,rest,tea,hot,steam,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2005,plane,jet,plane,fly,bug,insect,roach,yuck,disgusting,ew,gross,yuck,gross,ew,disgusting,revolting,averse,ignore,refuse,uncooperative,competitive,game,sport,fun,play,compete,contest,award,win,lose,try,work,diligent,hardworking,studious,determined,industrious,diligent,determined,dedicated,committed,honor,uphold,maintain,keep,give,sacrifice,donate,charity,contribution,donation,gift,present,wrap,christmas,holiday,thanksgiving,halloween,fall,autumn,season,winter,snow,ice,cold,brisk,frigid,bitter,sour,sweet,savory,salty,delicious,tasty,delectable,enjoy,love,hate,despise,detest,rival,enemy,foe,friend,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2006,plane,air,fly,sky,blue,green,grass,mow,work,sit,relax,calm,peaceful,free,time,watch,tick,second,minute,hour,day,week,month,year,birthday,holiday,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2007,secret,hide,cave,moss,green,forest,trees,leaves,soft,fluffy,fur,cat,dog,loyal,friend,happy,fun,carnival,games,skill,ability,learning,school,teacher,rules,detention,trouble,danger,risk,reward,treasure,gold,shiny,pretty,flowers,bees,honey,sweet,tasty,food,cooking,meat,vegetables,saute,oil,olive,pizza,takeout,chinese,delicious,savory,mushroom,dirt,plants,grow,seedlings,garden,weed,destroy,axe,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2008,plane,air,sky,sun,bright,light,clear,day,happy,joy,fun,outdoors,weather,summer,beer,baseball,friends,fun,happy,camping,fire,tent,stars,car,trip,road,excitment,food,laughs,company,sights,sounds,travel,road,bus,music,fun,end,fall,sweater,warm,leaves,brown,fall,winter,snow,cold,frost,snowman,boots,jacket,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,plane,fly,cane,house,bird,eagle,jet,kite,engine,wings,money,cash,food,tape,movie,love,headphone,plate,party,coin,spray,cup,pen,phone,computer,mouse,keyboard,tv,bed,towel,case,id,remote,car,shark,bottle,mouse,cake,cheeze,chocolate,apps,ring,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2012,secret,clue,mystery,hint,confused,lost,mistake,,,accident,instructions,goofed,chain,oops,stupid,interesting,secret,confidence,loyalty,i,think,failure,explain,feel,bad,secret,secret,end,messed,up,questions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2013,plane,aero,plane,aero,bus,train,helicopter,car,wheelbarro,ship,boat,fuel,gas,etrol,petrol,cooker,stove,firewood,,,,,,electricity,solar,wind,bigas,biogas,8,ride,lift,climb,mountain,hike,trip,trek,backpa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
