ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155
3004,water,drink,thirst,mouth,teeth,bite,chocolate,snack,chips,potato,farm,farmers,agriculture,lands,cultivate,environment,climate,change,dollar,america,president,republican,congress,election,vote,candidate,party,birthday,balloon,kids,play,ground,football,nfl,team,group,chat,message,online,socialmedia,facebook,friends,enjoyment,shopping,clothes,purchase,grocery,store,receipt,amount,money,finance,budge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,body,arm,skin,hand,fingers,person,human,people,nation,america,country,vote,president,important,power,money,dollar,spending,thinking,bank,saving,penny,purchase,careful,patience,frugal,coin,gold,silver,gems,beauty,awe,happy,sunset,emotions,sun,moon,stars,sky,heaven,clouds,rainbow,rain,water,wet,weather,nature,power,strong,climate,protect,important,change,worry,future,environment,polar,bear,ice,cap,cold,coat,hat,gloves,boots,jacket,scarf,boat,cruise,sail,ocean,sea,travel,move,journey,adventure,new,tourist,south,north,east,west,mile,foot,ruler,measure,tape,weight,seeing,interested,excited,noval,change,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,body,wash,soap,white,sheep,wool,hat,head,skull,hard,pencil,led,light,bright,rainbow,gay,happy,clown,bozo,unicycle,tire,rubber,band,uniform,red,liptstick,lips,dry,wall,paint,smell,nose,jewish,newyork,bagel,butter,yellow,sun,face,raisinbran,store,shelf,empty,glass,water,toilet,bidet,cold,eskimo,igloo,ice,hole,fish,hook,pirate,patch,infection,puss,alcohol,pad,paper,pen,blue,dog,golden,bar,plate,table,cat,eyes,glasses,glass,window,grass,worms,feet,toes,nails,wall,pictureframe,paint,bucket,beach,sand,towel,woman,bathingsuit,blue,water,wave,shark,fin,soup,spoon,silver,medal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,body,mind,soul,chakra,meditation,spirtitual,other,etc,continuing,onward,forward,movement,toward,near,far,away,going,leaving,sad,tears,kleenex,tissue,paper,writing,pen,pencil,school,work,money,buying,consuming,eating,food,drinks,bar,alcohol,people,together,unity,strength,weights,gym,workout,sweat,exercise,endorphin,brain,spine,bones,tv,entertainment,unplug,plug,socket,wire,red,blood,emergency,hospital,doctor,nurse,scrubs,sponge,soap,water,river,swimming,swimsuit,tan,sun,moon,night,stars,light,dark,chocolate,sweet,sour,patch,sewing,needle,thread,knot,rope,boat,engine,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,body,ocean,lake,river,delta,alpha,wolf,sheep,wool,scarf,winter,spring,flower,rose,red,color,wheel,cheese,mice,rat,race,marathon,run,jog,exercise,bike,path,trail,hike,mountain,summit,peak,top,first,last,worst,bad,good,excel,microsoft,company,organization,orderly,neat,tidy,clean,scrub,floors,wood,plank,pirate,parrot,mimic,mime,clown,circus,elephant,tusk,rhino,hippo,fantasia,mickey,disney,park,field,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,body,head,hair,teeth,mouth,eyes,watering,plant,green,leaf,tree,bark,trunk,car,vehicle,truck,tires,rubber,oil,gas,station,chips,crunchy,chew,tongue,piercing,metal,sheet,blanket,bet,casino,gamble,cash,machie,slot,lights,crowd,people,gathering,concert,music,artist,television,set,tea,china,country,virus,sickness,death,black,sad,frown,depressed,sleep,night,moon,starts,stars,twinkle,song,sing,child,cuddle,rest,tired,comfort,fluffy,rug,carpet,house,clean,scrub,bleach,spray,vacuum,noise,ambulance,city,police,justice,arrest,handcuffs,jail,crime,inmate,jumpsuit,orange,fruit,eat,delicious,icecream,cold,chilly,winter,jacket,overcast,rain,wet,umbrella,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,water,ski,snow,cold,tea,hot,honey,bee,sting,scorpion,king,rock,colid,sure,child,mother,father,holy,ghost,supernatural,show,good,dog,flee,jump,start,car,white,wedding,bride,groom,dog,cat,claws,sharp,tv,remote,control,mind,brain,organ,cells,terrorism,sulamanei,iran,trump,card,credit,terrible,bad,good,morning,evening,night,shade,lamp,oil,frying,chicken,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,water,liquid,juice,tea,coffee,chai,wine,beer,moonshine,seltzer,tears,ocean,pool,puddle,liqour,soda,river,lake,shower,tub,toilet,sea,inlet,ice,rain,sleet,snow,mist,condensation,sweat,monsoon,hurricane,thunderstorm,hurricane,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,body,part,shop,price,drop,top,spin,news,media,television,anchor,ship,sail,sea,ocean,city,street,smart,geek,school,grade,high,low,point,blank,page,turn,over,it,is,what,when,time,over,clock,tick,itch,scratch,rash,cream,cheese,sause,pizza,pie,cake,eat,food,plate,fork,spoon,fed,state,cop,police,dog,catch,ball,field,trip,shoe,lace,dress,shirt,tie,knot,string,theory,science,class,system,info,graph,line,dance,floor,sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,water,pool,tub,rocks,river,mountain,lake,earth,grass,sky,stars,universe,eternity,dead,living,blood,heart,organs,health,exercize,fun,biking,swimming,lifting,taking,home,furniture,floor,roof,metal,gutter,leaf,tree,root,sap,sweet,sugar,caffine,bitter,taste,eat,poison,medicine,doctor,ill,ok,fine,doing,failure,work,achieve,happy,marriage,romantic,date,dinner,savory,chicken,pasta,naked,bed,goodnight,walk,sunny,run,shoe,arm,cold,glove,ice,snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
