ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93
1037,,coyote,spider,man,comic,drawing,line,art,color,television,cartoon,network,shows,streaming,stream,water,river,ocean,beach,outside,woods,trees,plants,mushroom,fungai,toad,frog,lizard,dragon,asia,china,japan,korea,beauty,skincare,love,flowers,red,pink,purple,violets,roses,lily,water,river,lake,fresh,dock,alligator,swamp,green,plants,moss,firefly,princess,prince,frogs,logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,you,he,treat,dog,cat,pets,hair,clean,vacuum,read,ready,trees,forest,plants,parks,urban,city,sidewalk,cars,traffic,environment,heat,pleasure,water,ocean,beach,high,school,education,life,family,parents,brother,sister,husband,wife,child,student,game,agents,canyon,sun,moon,mountain,lake,river,laptop,computer,keyboard,carpet,couch,futon,chair,lounge,leisure,pillow,state,country,flight,travel,sleep,as,he,slept,slumber,party,girls,friends,plane,calm,patience,relax,party,drink,alcohol,read,book,neighbour,sober,beer,amsterdam,house,,,,,,,,,,,,
1039,,fred,twin,boys,black,cat,halloween,time,ticking,clock,face,smile,teeth,gnash,sound,ear,wax,floor,mop,head,cold,freezing,winter,ice,snow,bleh,unhappy,depressed,texas,leave,california,coast,sunshine,beach,daughter,college,school,study,books,read,leisure,time,relax,tired,sleep,hmm,don,know,anything,else,blank,mind,empty,trash,can,story,time,out,side,front,door,open,table,pet,loss,grief,sadness,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,dog,cat,halloween,orange,leaves,festive,spice,christmas,tree,decorate,spider,web,scary,dream,salt,pepper,costume,dress,vampire,blood,suck,castle,europe,travel,plane,train,car,boat,water,fish,ship,line,phone,mobile,glasses,shirt,pants,shoes,glasses,somber,casual,comfortable,relaxed,sad,somber,cry,tear,upset,upset,eyes,moist,crying,alone,apart,wrong,something,tales,ordinary,person,neighbor,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,give,up,anythin,start,end,pear,boar,i,get,him,back,make,him,jealous,you,are,tear,late,reap,lore,show,bloom,youre,try,tie,beat,bear,bare,hang,hung,her,him,she,they,move,look,love,found,four,guys,sincerity,scary,im,in,with,you,ask,about,sweater,the,cow,something,weather,about,wait,pretend,make,my,friend,heart,wrenching,story,make,me,understand,look,i,i,was,asked,to,understand,wrench,coworker,friend,as,close,coworkers,share,intimate,,,,,,,,,,,,,,
1043,,dinosaur,model,planet,computer,blinding,ichthyosaurus,cupboard,hustle,endoplasmic,coronal,heart,valve,imagination,blood,clone,quirky,special,gay,love,cute,boyfriend,animal,fish,quack,duck,beautiful,raccoon,partner,pronouns,lifetime,names,gender,her,tank,american,lifestyle,personality,quality,guarded,fucker,meanie,hatred,anger,apology,party,stand,fried,games,hairnet,hospital,gown,lovely,yard,swings,barbecue,father,discs,orders,restaurant,eating,barbecue,already,repeat,sorry,never,ending,hook,window,airplane,draft,cold,,,,,,,,,,,,,,,,,,,,,,,
1044,,dance,ballet,music,sing,artist,vocals,voice,throat,lungs,breathe,living,flowers,outside,recess,kids,teachers,math,numbers,adding,subtracting,money,shopping,clothes,jacket,winter,snow,sled,fun,smile,happy,feelings,anger,fight,siblings,family,child,pregnant,crib,blankets,warm,fire,smores,leave,go,drive,travel,airplane,disney,rides,mechanics,robots,movies,dog,love,cuddles,kiss,pet,walk,leash,pull,art,paint,brush,colors,cricut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,begin,start,go,run,race,compete,group,people,community,town,city,state,country,world,globe,geography,learning,education,school,college,inform,teacher,students,study,research,understand,knowledge,test,researcher,studies,nature,animals,humans,psychology,brain,mind,thoughts,emotions,emotions,feelings,happiness,sadness,anger,surprise,party,thoughts,loneliness,feeling,personal,alone,disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,cat,dog,rabbit,fish,water,air,clouds,sun,sky,space,stars,earth,ground,volcano,lava,hot,cold,ice,room,couch,chair,sit,stand,run,jog,jump,fly,baloon,banana,monkey,climb,tree,leaf,green,blue,red,anger,mad,yell,whisper,relax,excite,active,hear,listen,talk,discuss,meeting,work,job,office,chair,desk,neighbour,house,yard,lawnmowing,clippings,rake,lake,water,calm,peaceful,sand,art,paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,,start,begin,enter,exit,door,way,hall,under,vague,water,back,sight,vision,ear,leg,arm,hand,type,key,note,write,auxiliary,eyes,study,imagine,understand,determine,wash,pressure,escape,end,desk,glow,bask,turkey,alas,twitch,receipt,cowboy,amend,turbulence,airplane,commode,story,building,high,jump,parachute,lie,incision,escapade,sit,phone,art,details,rose,rosary,female,love,gentle,fabric,scene,box,credit,oblivious,harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,,baby,bagel,nature,dog,cat,door,fan,cereal,bee,bump,lake,drive,boy,girl,random,hate,argue,yell,slam,annoy,skin,bed,hat,top,angel,ark,blanket,pillow,dress,floor,cabin,tree,bird,water,boat,swim,sleep,stomach,eye,nose,ear,tv,music,playing,drive,tragic,accident,book,read,dance,psychedelic,skin,nails,paint,sober,alcohol,drink,drank,drunk,neighbor,blonde,fence,walk,chair,hat,glasses,coat,,,,,,,,,,,,,,,,,,,,,,,,,,,
