ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145
1002,body,chain,fence,gate,lock,key,chain,ball,play,pen,pig,farm,cow,milk,tea,coffee,bean,rice,cake,sugar,sweet,tea,time,past,future,present,now,then,who,what,when,where,why,cause,effect,consequence,responsibility,reason,logic,thinking,debate,argue,fight,punch,hit,pain,sad,cry,tears,tissue,wet,cold,sick,tired,sleep,rest,relax,nap,blanket,warm,bed,sheet,pillow,fight,hit,push,pull,hair,shave,razor,blade,knife,cut,pain,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,body,count,numbers,amount,variable,chance,probability,accident,hurt,pain,confusion,blame,thoughts,accusation,research,publish,documentation,idea,belief,understanding,acceptance,growth,advancing,self,worth,mind,intelligence,iq,feelings,association,love,worth,care,family,friends,charity,nuturing,caring,expression,evaluation,motivation,thoughts,intentions,decisions,haste,responsiveness,regret,impulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,body,murder,senseless,idiotic,village,community,center,middle,group,dynamics,physics,discussion,philosophy,song,heart,beat,drum,parade,santa,christmas,presents,open,minded,single,double,scoop,icecream,cold,polar,bear,white,me,thoughtful,kind,animal,cheetah,spots,book,read,newspaper,politics,weighty,heavy,scale,justice,blind,mice,swarm,bees,honey,bun,hair,chignon,french,paris,wonderful,marvelous,showmanship,circus,lions,zoo,grandkids,cute,fun,festival,lively,dynamic,zippy,pinhead,horror,movie,popcorn,home,house,expensive,pricey,decadent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,water,dishes,kitchen,chores,woman,murder,killer,brutal,savage,knife,stabbing,violence,victim,torture,blood,red,hemoglobin,oxygen,chemistry,bonds,ionic,solution,solvent,water,sink,dishes,washing,cooking,lentils,stew,chicken,kale,green,plants,nutrition,diet,vegan,eggs,meal,breakfast,school,child,innocence,carefree,computer,runescape,clan,friends,teamspeak,playing,delight,sadness,despair,victim,family,grief,funeral,why,killer,mental,imbalance,chemicals,drugs,marijuana,high,alcohol,drink,pain,suffer,junko,killers,serial,brutality,insanity,gun,shooting,crime,law,congress,bills,president,trump,awful,horrible,corrupt,russia,election,interference,mueller,democrats,sanders,hope,change,new,democracy,america,freedom,earth,world,culture,dynamic,decisions,thoughts,actions,passions,desires,dreams,visions,1960s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,water,creek,floor,ceiling,glass,shatter,tear,paper,cut,wood,tree,nature,animals,dog,friend,family,children,playing,games,laughter,fun,activity,hobby,hiking,camping,fire,ice,tea,calm,relax,soothe,ache,pain,sadness,grief,loss,win,gamble,money,work,live,die,funeral,service,offer,take,give,charity,community,recreation,swimming,lake,ocean,travel,passport,identification,person,relationships,meaning,answer,question,problem,resolution,settle,debt,credit,acknowledge,understand,forget,careless,clumsy,goofy,tease,hopes,aspiration,goal,accomplish,relief,proud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,water,drown,death,dead,gone,morbid,funeral,dying,suicide,crisis,emotional,fatigue,exhaustion,help,doctor,lawyer,school,college,education,intelligence,reading,writing,books,novels,fiction,movie,pleasure,pain,agony,hurt,music,songs,birds,flight,planes,travel,world,earth,science,space,exploration,unknown,scifi,entertainment,leisure,hobbies,activities,sports,games,work,job,responsibilities,adult,mature,old,grandparent,children,small,naive,gullible,silly,funny,jokes,humor,comedy,genre,music,rock,aerosmith,80s,hairband,kiss,lips,chapstick,moisture,humidity,storm,weather,clouds,sky,space,solarsystem,planets,sun,moon,vast,wide,ocean,deep,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,water,river,banks,damp,trees,moss,fishing,cold,morningdew,crickets,deer,meadow,raft,launch,garbage,cans,bottles,woods,trails,trees,dog,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,water,ocean,lake,river,wet,swim,wash,clean,drink,thirsty,refreshing,hydrate,survival,live,alive,become,aware,think,solution,invent,create,imagine,discover,find,goal,explore,search,sail,sea,fish,sharks,marine,earth,world,atlantic,pacific,continents,people,culture,differences,life,living,together,one,all,connect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,body,whole,dead,all,dealth,human,girls,mans,naked,care,lotion,fragrence,odor,perspire,scum,kill,drag,tackle,touch,creame,wash,deoderant,moisture,sweat,oil,paint,dump,murder,row,chain,retraint,block,size,too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,body,arms,legs,limbs,elbow,forearm,fingers,toes,calves,thighs,head,neck,face,ears,eyes,nose,mouth,teeth,living,dead,organs,heart,lungs,liver,kidney,intestines,veins,brain,spine,bones,ribs,muscles,hair,nails,height,weight,build,thin,obese,average,tall,short,eyebrows,eyelashes,mustache,beard,thumb,index,middle,pinky,navel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,water,river,fishing,camping,fire,water,murder,death,crime,sad,sorrow,pain,bad,loss,helpless,morgue,graveyard,mother,love,child,car,police,man,callus,heartless,selfish,lonely,campin,friends,whiskey,drinking,drunk,bastard,wife,sad,boy,child,outside,alone,safe,unsafe,playing,working,cleaning,cooking,sweeping,scrubbing,thankless,work,unappreciated,duty,wife,sex,pleasure,wife,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,body,skin,muscle,chest,bench,weight,push,negative,control,rest,protein,process,wait,patience,time,day,night,sleep,again,sheet,pen,paper,mark,list,accomplish,cross,off,mind,wait,mindful,wake,sleep,food,heal,though,cells,bodey,body,pain,free,open,thoughtful,grateful,empty,mind,aware,self,understand,present,moment,change,accept,peace,heat,energy,warm,fan,air,particle,atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,water,river,sea,sand,ocean,fish,shells,beach,sun,shade,water,cool,warm,summer,vacation,car,travel,trip,time,rest,relax,read,book,fantasy,pages,turning,hours,days,weeks,months,years,birthday,party,cake,sweets,pie,fruit,blueberry,strawberry,apple,orchard,trees,green,grass,lake,sky,blue,white,clouds,scent,burning,rising,sun,set,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,water,mellon,cantalope,sweet,golden,corn,row,pews,church,apse,altar,pray,quiet,focus,lens,glasses,look,see,appear,visiage,pope,miter,saw,blade,copper,cut,arroyo,willow,earth,deep,gash,bloody,heal,wound,cut,hurt,pain,appear,seems,appears,pops,up,jack,box,surprise,what,happened,occur,owl,creek,water,rushing,scary,fast,speeding,danger,car,race,tires,explode,danger,bomb,loud,noise,scary,fast,explode,circular,thinking,idea,notion,cloth,sewing,yards,material,pattern,construct,make,build,erect,man,boyfriend,person,hurry,see,what,happened,thing,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,body,part,time,work,town,job,store,candy,old,woman,hat,dress,shoes,scarf,purse,money,change,dollar,bills,wallet,card,credit,statement,pay,due,time,money,worry,work,pay,bank,account,computer,laptop,new,expensive,money,creditcard,trip,fly,vacation,fun,food,sightseeing,walking,sunshine,outdoors,green,grass,trees,leaves,falling,colors,orange,red,lipstick,makeup,bathroom,clean,soap,scrub,brush,hair,color,dye,brown,sink,mess,clean,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,body,bag,purse,wallet,change,penny,marshall,herd,buffalo,bills,dolphins,ocean,salt,table,poker,hand,aces,top,honor,guard,security,detail,attention,salute,military,army,ranger,ford,taurus,astrology,stars,infinite,huge,vast,impossible,possible,realm,knight,sir,mister,formal,dance,music,festival,party,drink,alcohol,whiskey,rocks,riverbed,water,flow,stream,babble,talk,speak,speech,fright,horror,moive,entertain,dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,water,bucket,pail,mud,insects,farm,countryside,road,car,trees,man,bike,trail,rocks,clouds,sky,sunny,midday,rural,dinner,kitchen,utensils,tense,awkward,fake,mystery,escape,shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,water,boobs,women,echo,street,starbucks,mooshi,mugen,engine,ogre,3d,game,laptop,computer,programmer,microsoft,google,apple,hate,soup,alphabet,stock,money,cheese,truth,tree,month,money,boobs,cord,plug,wall,hampster,girlfriend,iguana,push,keys,up,down,mouse,live,real,fake,scare,fear,roach,allergie,doctor,scabies,save,us,itchy,medicine,lice,spray,shampoo,shower,homeless,shelter,power,hungry,people,manhattan,rich,poor,dead,live,life,bend,over,no,more,compromise,wont,surface,ipad,iphone,android,s10,samsung,lica,camera,light,pixel,googl,painting,table,coffee,tea,frappucino,food,hungry,church,run,fast,duane,reade,choose,sandwhich,burger,quesadilla,burrito,7,eleven,food,stamps,credit,card,debit,atm,money,need,more,charge,phone,cable,laptop,new,bestbuy,radioshack,compusa,amazon,supermarket,gristedes,speaker,tv,new,alexa,echo,dot,tablet,phone,amazon,emporer,carafe,pressed,orange,juice,,,,,,,,
1023,body,skin,color,green,grass,field,pasture,cow,milk,morning,shower,clean,window,glass,clear,sky,cloud,rain,storm,lightning,flash,camera,film,movie,theatre,audience,crowd,festival,music,speakers,volume,dial,phone,call,talk,speak,conversation,person,friend,trusted,loyal,dog,pet,care,family,christmas,holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,water,body,dead,murder,blood,violence,death,funeral,casket,hearse,procession,cars,drive,highway,truck,passing,lanes,speed,gas,pedal,brakes,slow,exit,town,country,,rural,fields,farm,corn,soybeans,grow,green,leaves,trees,woods,forest,hiking,boots,mud,hose,summer,backyard,grilling,burgers,chicken,salad,lettuce,tomatoes,garden,mosquitos,bite,itch,rash,eczema,lotion,dry,skin,bruise,leg,arm,hand,finger,ring,marriage,love,sex,babies,sleeplessness,coffee,caffeine,morning,awake,day,sun,moon,stars,space,rocket,astronaut,training,sneakers,gym,workout,exercise,sweat,heat,ice,fire,dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,water,lake,river,swamp,gator,florida,family,sister,dad,nephew,dog,cat,walk,feed,food,spaghetti,sauce,cheese,restaraunt,server,waitress,tip,money,dollar,coins,change,dress,clothes,shirt,pants,underwear,jeans,belt,support,friends,jokes,laugh,smile,teeth,toothbrush,toothpaste,clean,white,chew,taste,tongue,mouth,face,head,body,self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,body,soul,human,person,alive,being,exist,live,better,goals,attempts,tries,chances,turn,back,follow,support,stand,promise,will,are,can,want,doing,trying,reaching,stretching,grasping,tentative,weak,fade,wash,away,gone,out,about,around,here,home,with,accompanied,asked,pushed,forced,acquiesce,give,fall,drop,done,lose,leave,away,apart,moving,conscious,aware,watching,aware,terse,solid,safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
