ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159,word 160,word 161
2000,water,wet,dry,cloth,clothing,wear,tear,crying,eyes,blink,sleep,nap,awake,alert,coffee,caffiene,soda,unhealthy,diet,eating,weight,fat,thin,goals,trying,achieving,winning,losing,failure,loss,unhappy,sad,depressed,alone,isolated,confined,broken,repaired,fixed,happy,angry,annoyed,family,brother,father,boyfriend,good,loving,together,apart,torn,rip,destroy,annihilate,destruction,ruin,rebirth,reborn,joyous,splendid,working,job,work,travel,culture,people,person,human,man,woman,child,growing,changing,different,unique,positive,individuality,perfect,perfection,beauti, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2001,body,arm,leg,toe,foot,shoe,sock,hang,wall,picture,smile,teeth,brush,hair,comb,hat,scarf,neck,tie,shirt,shoes,foot,mouth,lips,kiss,me,mine,yours,ours,theirs,keep,have,not,no,yes,okay,right,left,open,close,blind,window,glass,pane,screen,outside,yard,play,grass,mow,cut,trim,flower,bee,fly,sting,hurt,heal,wound,deep,thought,ao,,action,result,reasoning,kind,helpful,friend,mine, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2002,body,arm,tatoo,black,sky,night,mood,moon,sun,bright,light,yellow,rainbow,gay,straight,arrow,bow,hunt,camo,gun,bullet,arm,dangerous,person,shooting,star,sky,night,nebula,galaxy,large,small,animal,plant,green,leaf,flower,colorful,red,car,ferrari,lamborghini,bull,rhino,grey,coin,money,green,silver,coin,currency,exhange,buy,purchase,thing,happy,sad,depressed,angry,mad,happy,fun,outdoors,playing,playground,swings,children,child,young,old,person,aging,sick,healthy,workingout,lifting,excersize,run,walk,muscles,firm,tight,exciting,mirror,food,tasty,tasteless,dirt,grass,long,leaves,trees,green,trunk,elephant,water,zoo,fun,kids,playing,zebras,turtles,pets,shell,eggs,chicken,hen,chicks,women,girls,boys,dirty,clean,esciting,wrestless,calm,sleeping,waking,morning,night,afternoon,work,sleepy,awake,breakfast,lkunch,dinner,snacks,cheese,crackers,knife,fork,platter,fun,tasty,resturant,expensive,cheap,money,creditcard,debitcard,paying,server,tips,drinking,expensive,friends,family,birthday,mom, , , , , , , , , , , ,
2003,body,arm,leg,foot,sock,shoe,tennis,basketball,player,tall,short,midget,shrimp,ocean,shark,bite,mosquito,annoying,brother,sister,family,mom,dad,dead,grave,cemetary,ghost,spirit,supernatural,show,television,comedy,laughing,crying,sad,emotions,happy,friends,gone,pathetic,miserable,death,dad,strict,punishment,prison,brother,old,young,nephew,cute,adorable,mischief,trouble,scolding,spanking,corner,aunt,childhood,friends,gone,song,music,headphones,broken,arm,leg,ankle,sore,muscles,exercise,hate,love,family,warmth,understanding,nephew,trouble,drugs,jail,prison,inmates,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2004,body,part,computer,keyboard,mouse,rat,cheese,cracker,white,black,chess,piece,bread,wine,cup,glass,spectacles,old,grey,wolf,claw,dog,cat,meow,roar,lion,tiger,bear,grizzly,man,woman,child,toy,game,monopoly,board,wood,fire,water,drink,contain,stop,sign,deaf,ear,nose,throat,tongue,red,blue,purple,heart,pump,blood,strain,fight,work,pay,cash,green,grass,mow,cut,lawnmower,gas,motor,engine,car,tire,bike,road,lights,sky,stars,moon,astronaut,helmet,protection,gloves,cold,winter,snow,white,powder,sugar,oil,dough,pizza,cheese,sauce,tomato,onion,pepper,salt,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2010,water,cup,drink,tea,kitchen,knife,cook,chef,job,detail,determination,success,salary,pride,ability,comfort,possession,house,family,ease,protection,unclutter,organize,clean,orderly,managable,deal,think,relaxation,clear,productive,focused,movement,inertia,momentum,desire,perfection,diligence,pride,faultless,esteemed,regarded,respected,successful,happy,accomplished,esteem,gracious,helpful,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,body,art,fair,circus,clown,funny,joke,punchline,comedian,audience,applause,curtain,window,door,open,honest,truth,morality,christian,faith,strength,muscles,gym,workout,fitness,healthy,happy,satisfied,calm,lake,water,refreshing,thirst,hunger,food,vegetarian,sustainable,environment,earth,planets,sun,tan,skin,soft,caress,woam, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2012,water,land,tree,flower,bees,birds,sky,clouds,rain,umbrella,storm,wind,gust,force,energy,power,electricity,spark,fire,flames,heat,sun,summer,winter,fall,spring,flowers,sneezing,flu,sick,tire,sleepy,nap,bed,pillows,soft,hard,steel,concrete,bridge,river,bank,money,spend,save,budget,plan,calendar,list,chores,clean,laundry,soap,scrub,brush,mop,vacuum,cook,food,groceries,store,people,traffic,noise,radio,tv,movies,popcorn,soda,tickets,concert,seats,music,stereo,speakers,phone,laptop,desk,chair,pen,paper,tablet,stylus,battery,book,library,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2013,water,bottle,plastic,recycle,dirty,compost,environment,climate,change,warm,global,warming,helpfu,glaciers,melting,polar,bears,igloos,antactica,animals,habitat,rainforest,endangered,habitat,deforestation,wood,chopping,pandas,endangered,bamboo,food,meat,steak,fruit,bananas,apples,grapes,oranges,apples,strawberry,blueberry,raspberry,cranberry,powder,protein,healthy,fishoil,helpful,heart,lab,tests,clinical,prescription,doctor,office,run,distinct,happy,moving,running,exercise,active,weight,nutrition,eating,vitamins,minerals,micronutrients,macronutrients,research,blog,reading,updated,information,open,minded,growing,better,spiritual,developing,athletic,work,hard,boxing,competition,punches,dodging,best,pushing,driven,motivated,dangerous,happy,sports,football,highschool,college,awards,championship,life,kid,flag,football,running,fast,natural,grandfather,nfl,loving,passed,away,kind,fast,strong,grandmother,loving,caring,friendly,sick,diabetes,depressed,father,sad,upset,hurt,difficult,coping,mechanism,loving,christmas,different,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2015,water,river,flow,magma,volcano,erupt,burst,shoot,gun,firing,range,distance,meters,measurement,ruler,king,medieval,knight,horse,pony,baby,pacifier,suck,lick,lollipop,sucker,candy,chocolate,cake,dessert,calories,fat,exercise,workout,sweat,shower,rinse,clean,dirty,messy,tidy,organize,folder,notebook,school,class,education,improving,practicing,training,effort,difficult,struggle,overcome,victory,defeat,failure,letdown,embarassment,shy,inhibited,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
