ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153
2000,water,full,cold,hot,deep,clear,chilly,fish,whale,tail,mail,fail,trail,sail,drop,cat,mad,man,dew,breeze,wind,rain,storm,light,dark,hot,fire,wood,pit,meat,marshmellow,smore,more,animal,kid,rid,pizza,cream,milk,juice,orange,lime,apple,banana,pear,grape,tomato,potatoe,celery,fry,brown,eat,cough,sick,hurt,tired,ache,stomach,throat,arm,leg,head,mouth,eye,nose,cheek,brow,lips,foot,toe,hand,finger,shoe,ring,boots,pants,jacket,shirt,gloves,hat,hair,brush,comb,gel,shampoo,conditioner,vacuum,dishes,floor,car,fuel,pedal,bike,school,clock,time,stop,m, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2002,water,ice,bucket,handle,heavy,brick,red,house,build,hammer,nails,thumb,nail,paint,brush,hair,long,string,white,gown,dress,girl,flower,pink,daughter,beautiful,love,sweet,heart,day,work,computer,type,hands,dry,weather,rain,wet,towel,fuzzy,bear,cuddly,warm,heat,sun,yellow,pollen,bee,buzz,hear,ear,head,eyes,nose,breathe,air,fresh,stale,bread,food,refrigerator,cool,plug,wall,hard,knock,fist,fight,blood,cut,stitch,doctor,stethescope,heart,beat,drum,instrument,band,music,headphones,listen,sounds,birds,chirping,crickets,hop,rabbit,furry,dog,bark,whine,whimper,cry,sad,tears,drop,fall,ladder,tall,tree,green,leaves,press,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2003,body,armor,iron,man,hero,marvel,comic,comedy,entertainment,sports,competition,survival,nature,mother,father,sister,brother,family,tree,leaf,plant,factory,farming,livestock,sheep,wool,eyes,face,head,body,image,picture,photo,class,highschool,college,university,education,success,failure,disappointment,sadness,grief,loss,win,champion,underdog,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2004,body,soul,mind,emotion,feeling,heart,lungs,air,breathe,pollen,hayfever,sinuses,throat,swallow,bird,flight,aeroplane,home,countryside,rural,farms,cattle,sheep,wool,shear,knit,knitwear,sweater,clothing,suit,tie,gown,ball,dance,waltz,music,guitar,blues,rhythm,drums,timpani,ballet,swans,lake,beach,shore,bullrushes,camping,bonfire,marshmellow,sticky,honey,tea,coffee,machine,robot,factory,worker,callus,blister,peel,banana,fruit,salad,dressing,sesame,sauce, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2005,water,wet,dry,warm,sun,summer,winter,sping,fall,leaves,trees,birds,sky,blue,cloud,rain,pour,snow,sledding,hill,drive,speed,car,tires,round,wheel,circle,square,triangle,rectangle,box,package,mail,order,shipment,arrival,post,mailman,mailbox,letters,open,surprise,happy,fun,birthday,celebrate,holiday,christmas,easter,thanksgiving,turkey,food,family,gather,grateful,thankful,enjoy,prepare,feast,eating,cooking,cleaning,housework,chores,weekend,work,weekday,fulltime,employment,labor,money,bills,rent,utilities,credit,taxes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2006,water,drink,liquid,thirst,dry,mouth,teeth,gums,floss,clean,house,room,chair,sit,down,up,stand,feet,shoes,nike,brand,cost,money,save,future,comfort,knowing,safe,secured,happy,joy,peace,friends,love,marriage,happy,life,living,explore,world,travel,relax,calm,ease,peace,enjoy,surrounding,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2008,body,arm,elbow,hand,cat,computer,beans,chair,tree,sun,cloud,door,stairs,bed,ball,cup,bottle,macaroni,cheese,pot,pan,frame,painting,wall,photograph,camera,phone,internet,google,acer,laptop,book,suitcase,t-shirt,pants,bird,squirrel,grass,flower,street,car,truck,van,train,airplane,boat,water,lake,world,planet,rain,umbrella,glove,hat,snow,shovel,driveway,walk,run,mailbox,drink,eat,sleep,rest,couch,television,furniture,drive,fly,sail,pen,pencil,paper,cardboard,wood,metal,moon,mars,earth,give,take,borrow,receive,trade,sell,buy,store,words,are,hard,statue,monument,look,see,touch,feel,taste,si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2009,water,wet,puddle,rain,coat,cold,heat,fire,red,stopsign,traffic,car,brake,seatbelt,safety,caution,crossingguard,bus,school,child,playground,slide,park,dog,leash,training,running,shoes,skirt,dress,dinner,resturant,date,man,boyfriend,partner,ring,spouse,house,home,garden,water,can,tin,type,computer,screen,movie,shoe,red,green,christmas,winter,snow,cold,coat,bundle,cash,money,bank,save,vacation,summer,beach,ocean,fish,relax,sleep,nap,seista,spanish,clam,rice,pasta,oil,bread,dinner,meal,breakfast,eggs,fryingpan,bacon,sizzle,steak,cow,signlanguage,school,desk,pencil,eraser,art,crayon,coloring,painting,sculpting,art,muesum,exhibit,furniture,carpet,couch,recliner,tv,netfix,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,body,head,hand,leg,torso,finger,toe,knee,neck,back,elbow,,eyes,heart,brain,nerves,veins,blood,liquid,water,lake,river,sea,ocean,ship,cruise,vacation,travel,airplane,sky,cloud,sun,moon,space,planet,asteroid,comet,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2012,water,rice,exception,note,eraser,rope,exam,money,yogurt,teacher,rythm,macaque,expert,toy,yo-yo,orchid,diary,yatch,hummus,sapiens,snake,encounter,rose,exit,toe,escape,eleven,notebook,keyboard,drum,mouse,experience,escort,trim,maze,envy,yogurt,table, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
