ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148
2000,secret,paper,note,handwriting,number,four,children,playing,toys,buy,christmas,money,creditcard,debt,account,debit,atm,withdrawl,cash,carry,sales,rummage,shopping,bags,recycling,straws,plastic,bin,garbage,hoist,heavy,oceanliners,crash,death,bathroom,toilet,paper,inconvenience,annoyed,judged,jury,witness,confession,trial,jail,prison,bars,prisoner,crime,murder,weapon,laws,government,corrupt,politician,money,stockmarket,stocks,wallstreet,rich,lifestyle,farmhouse,decorating,decor,shopping,groceries,cart,crash,car,tires,mechanic,bluecollar,school,wages,earning,taxes,penalty,fee,parking,trucks,hats,attractive,heels,sneakers,skateboard,park,grandmas,trees,chopping,lumberjack,plaid,pajamas,sleeping,alarm,annoyed,interruption,working,earnings,salary,raise,hearing,judged,gavel,fine,theft,stealing,criminal,skimask,black,racism,blm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,plane,high,sky,birg,eagle,soar,esports,games,racing,f1,hamilton,goat,jordan,basketball,air,shoes,skill,athleticism,speed,agility,talent,resilience,zen,meditation,monk,buddha,temple,shrine,air,fresh,febreeze,pleasant,life,adversity,success,perseverance,always,working,goal,soccer,messi,excellent,success,failure,mediocrity,contentment,comfort,life,short,childhood,adulthood,depressing,life,long,short,medium,crazy,random,assorted,synergy,mess,trash,bin,food,drinks,soda,unhealthy,diabetes,death,unfortunate,odds,stacked,warriors,talented,ronaldo,portuguese,food,good,brazil,hot,sun,burning,scorching,painful,relief,pinch,react,positively,aids,virus,contracted,cough,sick,flu,hospital,nurse,kind,girl,childbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,plane,wings,flying,birds,beak,caw,raven,poem,verse,rhyme,lyrical,songs,music,notes,bars,drinks,alcohol,drunk,stumbling,bumping,bruises,blue,sad,tears,crying,wailing,sorrow,depression,medication,pils,bad,angry,red,stop,go,green,traffic,cars,driving,traveling,vacation,distant,far,away,gone,alone,solitary,independent,rock,solid,strong,firm,challenging,difficult,powerful,proud,haughty,vain,feathered,hats,hair,cut,snip,clip,scissors,fabric,sewing,thread,needle,knitting,yarn,crafty,wry,clever,intelligent,cunning,thievery,books,fantasy,fun,costumed,playing,smiling,laughter,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,secret,keep,save,give,spend,buy,purchase,shop,receipt,document,paper,pen,pencil,marker,crayon,color,vivid,bright,light,day,night,dark,black,white,plain,simple,easy,hard,complicated,complex,difficult,trying,striving,desire,want,goal,achieve,accomplish,achieve,get,obtain,acquire,get,give,sacrifice,donate,charity,contribution,gift,present,christmas,holiday,thanksgiving,halloween,fall,autumn,season,winter,spring,summer,hot,heat,sun,bright,light,dark,black,brown,tan,beige,white,clean,stark,bare,blank,empty,void,hole,dig,shovel,spade,tool,garden,vegetable,corn,peas,carrots,broccoli,sprouts,blooms,blossoms,grows,expands,larger,bigger,huge,massive,enormous,large,small,minute,tiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,secret,keep,memory,photo,children,family,life,happy,birthday,newborn,kid,play,fun,active,walk,hike,trail,woods,nature,tree,shade,cool,heat,sun,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,plane,skirt,bathroom,wet,dry,seat,bite,celebrity,passenger,airplane,landing,airport,baggage,leaving,home,cleaning,dishes,soap,scrubbing,chore,vacuum,car,drive,road,pavement,hard,rocks,pebble,smooth,silk,sheets,bed,pillows,blanket,cold,tea,coffee,donut,frosting,cake,birthday,balloons,sky,clouds,fluffy,toy,train,trip,flying,cabin,woods,pines,smell,refreshed,nap,cozy,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,secret,trust,keep,friends,close,close,divide,distrust,betray,hate,grudge,fight,fists,blood,hurt,pain,sad,lonely,bad,down,sorrow,black,dark,night,blue,dim,morning,early,new,bright,sun,day,fun,happy,friends,summer,water,boats,beach,sand,fun,friends,happy,joy,ball,sports,exciting,competition,winning,losing,team,work,succeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,secret,came,go,bye,take,fine,sheet,lie,pause,play,rewind,share,together,fight,talk,sit,laugh,joke,party,frr,free,name,joy,join,job,fear,begin,rope,stroke,trap,strap,mind,care,bright,ride,rob,right,left,middle,second,first,magic,tell,blow,swing,hit,fly,fist,hand,sat,stop,start,mic,fresh,ring,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,plane,flight,manmade,aerodynamics,efficient,pollution,adventure,travel,globe,destinations,vacation,relaxation,time,explore,flight,eagle,views,sights,clouds,blue,sky,atmosphere,air,feet,height,alltitude,accent,decent,takeoff,landing,touchdown,runway,brakes,taxi,board,exit,luggage,claim,aisle,seats,airport,waiting,gate,ticket,security,lines,parking,cost,visit,movement,planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,secret,dangerous,spouse,problems,separation,bitterness,hatred,regret,bitterness,mistrust,disgust,sadness,far,disappear,leave,miss,outside,make,leave,excuses,separation,,divorce,discovery,mystery,danger,fight,confrontation,fire,anger,annoyance,decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
