ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159
2000,body,murder,woods,tracks,animal,pets,dog,walks,forest,stream,river,rapids,extreme,sports,outdoors,hiking,camping,fire,cooking,food,eating,fish,swimming,trunks,speedos,french,snails,pests,rats,snitches,stitches,injury,hospital,doctors,nurse,kind,help,assistance,breakdown,car,crash,shutdown,frustration,anger,relief,peace,war,shooting,death,grief,loss,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,water,fall,down,pour,milk,shake,tremors,earthquake,buildings,offices,staff,room,mate,check,in,doors,closed,shop,market,place,home,comforts,blanket,wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,water,person,lady,hair,whispy,wind,cold,ice,frozen,blue,sad,crying,tears,window,empty,hollow,tree,woods,deep,ocean,dark,night,moon,space,exploration,flashlight,camping,tents,forest,landscape,painting,artist,chef,food,hungry,fight,sword,angry,yell,argument,right,laws,sketch,face,design,colour,light,lightbulb,off,sleep,night,quiet,cricket,movie,drama,cry,friend,love,relationship,close,smile,joy,child,care,careful,precarious,dangerous,epic,battle,win,game,monopoly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,water,creek,stream,river,lake,ocean,sailing,boat,yacht,mansion,wealth,income,work,job,boss,employee,wages,bills,utilities,plumbing,pipes,metal,silver,jewelry,stylish,clothing,model,runway,posing,dancing,performing,theatre,musical,movie,screen,television,entertainment,fun,amusement,rides,kids,youth,innocence,guilt,courtroom,lawyer,accident,automobile,loan,payments,checks,bank,institution,college,scholarship,intelligence,thought,dreams,sleep,pillow,mattress,bed,furniture,floor,ceiling,roof,shingles,maintenance,routine,consistency,discipline,scolding,mother,father,grandparent,ancestry,humanity,rights,fairness,kindnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,body,concious,effort,time,space,shuttle,bus,stop,yield,invest,save,life,source,code,fix,repair,shop,buy,back,spine,tingling,sensation,taste,buds,ear,piece,meal,eat,food,shop,drop,off,putting,green,fingers,toes,sandals,resort,violence,home,safe,keeping,appearances,deceptive,devious,sly,stone,mason,dixon,road,drive,through,put,golf,course,harsh,climate,change,come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,body,woman,lady,skirt,clothes,cotton,mills,industial,machine,robot,programming,computer,pc,office,building,urban,city,lights,electricity,power,energy,youth,children,learning,education,school,teacher,responsible,dependable,reliable,manufacturing,processes,procedures,documentation,paperwork,rules,regulations,regulators,framework,playground,swings,smile,good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,water,ocean,fish,food,sustenance,life,temporary,seasons,winter,snow,cold,warm,heat,sun,da,day,light,electric,lightning,storm,hurricane,disaster,suffering,help,doctor,medicine,expensive,money,power,government,corruption,rotting,log,fire,california,wine,grapes,fruit,earth,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,body,busy,times,hard,water,still,calm,peaceful,garden,green,plants,flowers,colourful,joy,bright,light,like,travel,holiday,vacation,now,travel,holiday,freedom,rest,calmness,sleep,now,present,gift,new,christmas,season,jolly,funny,happy,jokes,funny,joker,movie,long,time,precious,time,boring,classes,monotonous,work,job,toxic,poison,singapore,travel,roam,drive,far,lost,deserted,island,blue,sky,sea,sand,beach,home,crave,calmness,beach,breeze,warm,humid,rain,forests,calm,eerie,stran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,body,dead,river,stuart,dean,marnie,campin,camping,river,domestiv,domestic,violence,home,river,plates,smashed,damage,broken,camping,tent,fishing,darkness,countryside,nature,fish,bears,guns,hunting,shooting,america,native,indian,reservation,injustice,real,americans,murder,trump,idiot,decay,failed,state,new,york,pavement,shops,community,home,school,life,learning,constant,disappointment,achieve,love,marriage,stuart,abuser,hairy,legs,sex,imprisonment,regrets,renewal,divorce,freedom,liberation,normandy,somme,ypres,dad,knowledge,respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,body,limbs,hands,fingers,ring,engagement,marriage,family,house,home,place,city,town,local,abroad,holiday,sun,summer,beach,sand,shells,sea,fish,pet,dog,puppies,young,old,retirement,care,nurse,doctor,hospital,injury,pain,accident,body,limb,,,,,feet,toes,nails,hammer,smash,hulk,marvel,villain,evil,plot,scheme,negative,positive,charge,dead,alive,breathing,lungs,heart,blood,oxygen,trees,rainforest,amazon,shopping,money,poverty,homelessness,alcoholism,druguse,addiction,rehab,support,recovery,rescue,lost,map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
