ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122
2001,water,ice,cold,drink,beverage,thirst,soothing,refreshing,pleasing,reward,excellent,nice,time,exercise,hot,sunny,jogging,healthy,sweaty,moving,music,lyrics,dance,fun,time,outside,woods,nature,trees,shade,fountain,miles,recreation,helpful,calming,rewarding,peaceful,easy,feeling,summer,rain,storms,thunder,humid,mosquitoes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2004,body,shape,square,circle,round,clock,time,noon,sunny,day,monday,work,hard,tough,strong,willed,money,bills,dollar,cash,money,spend,time,clock,watch,time,out,in,door,window,breeze,wind,air,earth,round,circle,square,rectangle,box,cardboard,brown,black,white,clear,window,glass,mirror,reflection,myself,person,me,name,title,king,queen,elizabeth,queen,king,castle,moat,water,drink,glass,plate,knife,fork,spoon,scoop,icecream,cold,hot,sun,burn,hot,soup,can,bottle,recycle,reduce,minimize,shrink,doctor,nurse,hospital,covid,virus,mask,halloween,pumpkin,thanksgiving,pilgrim,nativeamerican,tribe,group,gathering,party,friends,family,love,heart,lungs,breathe,air,wind,, , , , , , , , , , , , , , , , ,
2007,water,ocean,waves,sand,beach,towel,person,wet,shower,soap,scrubbie,exfoliate,skin,soft,kitty,pet,fur,coat,mink,black,night,moon,stars,astronomer,telescope,space,planets,solarsystems,life,covid19,death,sickness,nursing,emergency,health,safe,masks,distancing,safety,democrats,politics,biden,voting,blue,freedom,progress,liberal,friendly,outgoing,social,friends,party,fun,kids,games,playing,sports,football,brady,patriots,team,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2008,body,building,work,endurance,persistence,motivation,goals,steps,actions,thoughts,ideas,learning,improving,growing,progressing,evolving,changing,understanding,peace,calm,mindful,knowing,seeing,accepting,trusting,faith,belief, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2009,water,flow,river,bed,bugs,insect,trap,door,knob,handle,care,comfort,motel,bedroom,sleep,night,dark,light,sun,sky,clouds,airplane,flying,pilot,wings,bird,eagle,animal,dog,cat,pet,turtle,slow,stop,go,drive,car,wheels,tire,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2010,body,arm,chin,leg,hair,ear,finger,hand,foot,shin,buttock,forearm,forehead,knee,nose,mouth,eye,eyebrow,lips,toes,nails,tricept,bicep,hammy,board,bridge,hail,rain,storm,can,mouse,nine,laptop,keyboard,house,stairs,treadmill,weights,bench,couch,chair,monitor,headphone,mousepad,blender,sink,machine,dryer,hair,cord,straw,cup,drain,shower,bath,water,ice,soda,tv,bike,carpet,desk,phone,picture,door,trainer,plate,table,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2011,body,arm,hand,finger,ring,jewelry,fashion,chic,stylish,architecture,art,modern,creative,good,happy,life,family,friends,hobbies,guitar,music,pop,hiphop,rap,listening,headphones,electronics,computer,keyboard,mouse,graphics,games,internet,social,fun,work,job,money,house,rent,live,food,vegetables,broccoli,greens,frog,animal,cat,dog,rabbit,pet,loyalty,friends,funy,jokes,humor,inside,connection,love,life,breathe,oxygen,chemistry,atoms,electrons,energy,fuel,gas,car,coupe,fast,drive,destination,rolling,spinning,wheels,round,shape,square,box,shipment,package,amazon,ecommerce,ebay,bid,win,lose,pay,collect,fun,stuff,things,movies,books,narrative,story,character,motivation,themes,lessons,teacher,school,educate,smart,text,essay,write,read,highlight,study,learn,, , , , , , , , ,
2012,body,mind,help,alert,quiet,peace,harmony,remote,viewing,television,program,computer,software,run,quickly,swiftly,repeat,phrase,words,scrabble,game,baseball,stadium,seating,theatre,acting,out,side,up,side,bar,drink,water,land,airplane,wing,songs,sing,music,progressive,insurance,policy,work,school,house,home,sactuary,here,now,presence,absence,excused,allowed,rules,laws,order,new,fresh,food,eat,snacks,diet,weight,loss,lose,forever,eternity,neverending,story,book,writing,journal,healthy,body,mind,quiet,silent,peaceful,silent,night,day,sunlight,clouds,rain,flooding,river,flowing,stream,fishing,fish,swim,ocean,, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2014,water,cold,freezing,ice,chilly,winter,snow,storm,rain,thunder,clouds,sky,falling,air,oxygen,breathing,lungs,organs,heart,health,exercise,gym,yoga,stretching,meditating,spirital,calmness,peace,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2019,body,skin,naked,sex,lovre,love,marriage,woman,man,boy,kids,energy,playful,games,gaming,console,xbox,nintendo,costly,money,job,working,covid,virus,scared,masks,vaccine,doctor,hospital,sickness,cure,band,music,radio,car,fast,running,fun,bored,work,quit,unemployed,benefits,stimulus,august,need,vacation,beach,florida,hot,ocean,sharks,fish,animals,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2023,water,drink,eat,food,meat,beef,cow,animal,dog,pet,cat,rat,bite,hospital,doctor,nurse,medicine,sick,fever,treatment,medical,science,study,book,school,college,student,teacher,professor,lecture,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2024,water,bottle,cap,stone,hedge,fund,money,clip,belt,buckle,waist,belly,stomach,human,body,limb,arm,hand,shoulder,neck,head,chin,nose,eye,hair,sky,sun,moon,earth,air,oxygen,nitrogen,space,gravity,atom,particle,matter,dust,core,ground,earthquake,dirt,soil,grass,mud,plant,tree,rock,sediment,crust,twig,leaves,seedling,fruit,vegetable,life,birth,death,aftermath,beginning,end,middle,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2027,water,bottle,ocean,plastic,container,food,nutrition,calories,fat,large,unhealthy,sick,hospital,expensive,money,job,work,hard,boring,bad,dislike,quit,unemployed,poor,welfare,laxy,lazy,idle,bad,broke,shopping,store,toys,fun,children,pool,summer,popsicle,icecream,hot,drought,fire,devastation,insurance,accident,crash,car,drive,highway,fast,vacation,far,relax,beach,sand,shore,water,ocean,boats,ships,cruise,se,sea,cabin,hot,summer,bahamas, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2028,body,part,play,kids,work,hard,easy,bake,oven,roast,beef,hamburger,cow,farm,country,foreign,russia,putin,trump,president,obama,basketball,jordan,college,wisconsin,river,beach,swim,raft,fish,eat,food,fruit,apple,pie,crust,flaky,buttery,toast,jam,lunch,sandwich,tuna,fish,river,swim,run,fast,race,shoes,nike,socks,laundry,soap,wash,fresh,clean,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2029,body,body,finger,head,foot,eyes,food,mouth,mountains,organs,friend,house,car,town,neighbour,goods,pandemic,far,wear,clothes,phone,motion,government,move,cookies,hotdog,mouse,valley,hike,cycling,exercise,gym,flowers,wife,gold,school,student,teacher,university,london,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
