ID,cue,word  1,word  2,word  3,word  4,word  5,word  6,word  7,word  8,word  9,word  10,word  11,word  12,word  13,word  14,word  15,word  16,word  17,word  18,word  19,word  20,word  21,word  22,word  23,word  24,word  25,word  26,word  27,word  28,word  29,word  30,word  31,word  32,word  33,word  34,word  35,word  36,word  37,word  38,word  39,word  40,word  41,word  42,word  43,word  44,word  45,word  46,word  47,word  48,word  49,word  50,word  51,word  52,word  53,word  54,word  55,word  56,word  57,word  58,word  59,word  60,word  61,word  62,word  63,word  64,word  65,word  66,word  67,word  68,word  69,word  70,word  71,word  72,word  73,word  74,word  75,word  76,word  77,word  78,word  79,word  80,word  81,word  82,word  83,word  84,word  85,word  86,word  87,word  88,word  89,word  90,word  91,word  92,word  93,word  94,word  95,word  96,word  97,word  98,word  99,word  100,word  101,word  102,word  103,word  104,word  105,word  106,word  107,word  108,word  109,word  110,word  111,word  112,word  113,word  114,word  115,word  116,word  117,word  118,word  119,word  120,word  121,word  122,word  123,word  124,word  125,word  126,word  127,word  128,word  129,word  130,word  131,word  132,word  133,word  134,word  135,word  136,word  137,word  138,word  139,word  140,word  141,word  142,word  143,word  144,word  145,word  146,word  147,word  148,word  149,word  150,word  151
2000,water,hose,crops,corn,sweet,heart,pump,blood,test,exam,school,bus,driver,wheel,tire,sleep,bed,peace,flower,bee,honey,hive,worker,queen,crown,throne,velvet,soft,hard,ice,iceberg,penguin,suit,ballgown,dancing,champagne,bubbles,bath,duck,beak,policeman,helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,body,dress,pretty,small,big,enormous,monster,hairy,beard,man,woman,child,toy,game,monopoly,houses,hotels,restaurant,food,water,ocean,whale,dolphin,fish,chips,potato,vegetable,broccoli,green,colour,rainbow,arch,foot,shoe,trainer,running,exercise,healthy,happy,smile,laugh,comedy,television,gameshow,quiz,questions,answers,test,results,certificate,award,competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,body,head,hat,crown,king,queen,card,rummy,poker,hand,glove,gauntlet,trouble,pain,injury,running,exercise,sport,team,player,score,try,attitude,skill,resilience,hard,honour,ready,control,prepare,pack,kit,bag,bergen,weight,run,march,day,test,april,showers,rain,torrential,storm,weather,snow,ice,steppe,arid,desert,sand,dune,castle,legion,fort,arab,bedouin,camel,mountain,dry,snow,peak,climb,rope,knot,tie,boat,canal,bollard,stanchion,cable,anchor,deck,porthole,freeboard,depth,hull,weight,hold,cargo,freight,train,siberia,express,mongolia,china,nepal,base,camp,everest,death,sherpa,camera,flag,expedition,franlin,erebus,terror,lost,missing,mysterious,flying,saucer,alien,independeceday,america,july,celebration,happy,joy,marriage,wife,partner,eternal,companion,saviour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,body,clock,time,go,out,side,top,bottom,underneath,undergrowth,garden,grass,lawn,mower,machine,oil,car,petrol,electic,gas,explosion,debris,dust,duster,towel,bath,shower,water,hot,weather,summer,sun,beach,sand,picnic,food,drink,beer,cool,sleep,wake,morning,breakfast,television,netflix,series,binge,food,water,thirsty,glass,bottle,recycle,bin,rubbish,bag,supermarket,shops,street,station,tube,london,tourists,busy,hotel,restaurant,tablecloth,laundry,washing,underwear,shirts,ironing,buttons,undo,undress,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,body,skin,hair,body,leg,arm,head,brain,think,mind,though,thought,dream,think,worry,laugh,anger,mad,worry,funny,laugh,cry,tears,eyes,fingers,toes,body,parts,car,tires,battry,battery,windshield,wipers,mirror,rear,window,door,house,roof,windows,yard,trees,bushes,lawn,mow,trim,water,sprinkler,lawn,water,sidewalk,driveway,road,mailbox,mail,bills,postman,postage,package,envelope,stamp,cancel,postmark,freight,trucking,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,water,bill,gates,lie,person,tough,luck,charm,woman,beauty,life,work,pain,truth,matter,proposition,speech,difficulty,breathing,class,activity,time,lapse,time,gain,weight,stress,mind,issue,money,matter,solved,situation,closed,discussion,pending,debate,ongoing,case,opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,body,dead,fear,loathing,nightmare,sleep,night,moon,sky,light,hope,tunnel,death,girl,river,water,cold,mountain,autumn,leaves,trees,grey,rain,sad,depressed,medicines,sick,hospital,covid,china,vaccine,fever,antibodies,healthy,energetic,runner,newyork,building,wallstreet,bussiness,money,rich,happy,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,body,head,neck,necklace,ring,diamond,ruby,red,paint,pot,tea,coffee,milk,cows,dairy,maid,bar,beer,lager,wine,bottle,cork,,top,bottom,side,bars,chain,lock,key,latch,lift,doors,handle,hand,finger,nail,scissors,paper,stone,rock,cliff,edge,rim,drop,descend,land,fence,wire,post,staple,hammer,pliers,toolbox,handle,lift,screwdriver,spanner,match,bolt,nut,threads,cotton,twine,stitches,needle,eye,see,stereo,lens,focus,flame,bur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,water,drink,coke,drugs,weed,garden,flower,sun,moon,astronaut,space,black,night,sleep,bed,sheets,ghost,halloween,candy,sugar,flower,bake,cookie,monster,cartoon,tv,movie,theater,play,run,jump,bike,swim,water,cup,cook,eat,food,restaurant,bill,tax,tip,waiter,job,paycheck,money,bank,save,invest,stock,bond,market,grocery,vegetable,farmer,grass,fields,gold,golf,gmae,game,friends,party,wedding,marriage,children,family,parents,aunts,uncles,cousins,extended,stretch,belt,pants,shirt,fold,laundry,clean,shower,wash,shampoo,soap,wash,car,drive,roads,travel,plane,vacation,europe,culture,food,expense,money,culture,painting,modern,contemporary,french,impressionism,pointalism,park,umbrella,river,france,london,barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,body,water,river,current,waves,sand,beach,shells,walking,feet,cuts,blood,stain,washer,dryer,rack,heater,stove,wood,ash,sweep,broom,floors,clean,scrub,water,brush,apron,work,cook,kitchen,candle,simple,natural,food,content,proud,nutritious,veggies,garden,plants,earth,soil,compost,worms,water,healthy,sun,rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
