ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152,word 153,word 154,word 155,word 156,word 157,word 158,word 159,word 160,word 161
1000,water,ocean,wave,whale,shark,attack,australia,death,diving,scuba,fish,snorkel,breathe,air,oxygen,tank,regulator,mask,tahiti,pacific,atlantic,florida,cruise,eat,food,drink,shows,ports,piers,sand,beach,palms,coconut,tree,tropic,banana,papaya,lemon,lime,orange,mango,pineapple,hawaii,macadamia,volcano,lava,steam,vent,cave,hot,flow,pompeii,rome,italy,florence,naples,herculaneum,trains,greece,ferry,santorini,octopus,kayak,hike,caldera,wine,sky,blue,clouds,fly,pantheon,gelato,colliseum,forum,caesar,tsar,russia,hermitage,museum,prado,met,gala,idiots,fashion,victims,stupid,shallow,dumb,taxi,obelisk,park,jogger,tree,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001,water,bottle,plastic,bad,sick,flu,rest,sleep,nap,snore,loud,annoyed,irritated,mad,angry,happy,cake,food,chicken,cook,grill,steak,buy,store,drive,car,lease,house,home,apartment,lawn,grass,dirt,garden,bugs,insects,bees,plants,grow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1004,body,chest,muscle,arms,hands,write,papers,school,test,quiz,easy,hard,extreme,sports,football,superbowl,ravens,lamar,mvp,trophy,award,money,hundred,thousand,house,cars,ferrari,gwagon,nice,expense,insurance,costly,rich,famous,amanda,scary,happy,family,love,children,many,grownup,adults,work,hard,play,bar,party,club,friends,socialize,hangout,soon,many,times,flies,newyear,2020,life,old,aging,health,good,bad,accident,car,scary,traffic,conditions,bad,detour,home,family,cook,potatoes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1005,body,part,time,clock,work,parter,crime,spree,time,ticking,bomb,explosion,hurt,feelings,sensitive,person,unique,personality,difference,change,money,spent,earned,income,difference,between,job,task,learning,curve,bell,ring,TRUE,life,live,authentic,real,personality,trait,flaws,differences,unique,compare,contrast,negative,association,feeling,personal,self,care,take,get,give,selfless,others,community,together,helping,web,combine,helping,selfless,needs,wants,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006,water,fall,air,bird,sky,blue,green,yellow,plain,bane,try,bake,art,cake,frosting,spoon,fork,brain,firepower,will,i,am,you,are,basic,math,quantum,specialty,measure,brain,sky,cloud,flare,rain,thunder,lightning,ball,electric,wire,ship,conductor,train,car,vehicle,automotive,brake,spine,back,injury,park,banana,fruit,apple,orange,scar,rainforest,chimp,monkey,food,flute,drum,bird,brain,art,sky,down,fall,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1007,body,mind,brain,eyes,think,speak,read,books,pile,room,bed,sleep,eat,drink,walk,work,time,watch,when,food,coffee,cream,dishes,kitchen,cat,porch,woods,trees,deer,bear,mange,trap,neighbors,cars,noise,effigy,notices,trespassing,police,board,email,check,tasks,time,chain,mail,tired,bored,forever,blank,family,australia,rainforest,coronavirus,illness,deaths,world,fires,snakes,frogs,biology,toad,tarantual,roaches,crickets,isopods,feed,water,plants,house,c, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009,body,full,ocean,water,house,garden,flower,gate,fence,wood,metal,rod,stick,left,right,over,under,weight,port,water,ocean,lake,river,water,ocean,lake,river,kayak,boat,captain,naval,army,soldier,crew,deck,yard,dirt,garden,flower,seeds,grow,cement,fence,barrier,wall,paint,wash,soap,lather,dish,cup,glass,plastic,metal,heavy,duty,work,play,charade,dance,song,music,laughter,party,drugs,alcohol,sober,alive,smart,intelligent,testing,text,books,wr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1010,water,pump,flowers,spout,mill,grain,corn,cob,pipe,tobacco,cigarette,lighter,darker,clouds,rain,wet,sidewalk,driveway,car,park,swings,kids,home,house,household,sofa,chair,table,dinner,soup,tomato,salad,caesar,crutons,dressing,gown,nightclub,music,orchestra,dancing,leotard,ballet,tuxedo,wedding,groom,bride,flowers,cake,birthday,roses,garden,grass,lawnmower,bag,trash,garbage,junk,kitchen,food,eat,lunch,sandwich,ham,pig,hog,motorcycle,angel,devil,hell,fire,brimstone,bible,church,sing,pray,minister,finance,money,talks,speak,english,spanish,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1011,water,liquid,juice,apple,tree,plant,zombie,monster,witch,scary,halloween,holiday,christmas,present,gift,box,letter,package,mail,man,woman,girl,lady,female,pretty,cute,animal,dog,cat,purr,noise,music,disk,ipod,play,kids,games,checkers,chess,knight,castle,england,europe,countries,nations,place,earth,planet,mars,galaxy,stars,sun,moon,light,bright,eyes,nose,mouth,ears,big,tiny,small,mouse,whiskers,beard,man,face,arms,legs,toes,shoes,socks,pants,shirt,collar,tie,suit,meeting,business,job,work,hard,tough,tiring,slow,speed,limit,ticket,mad,anger,emotion,happy,sad,scared,fear,war,fighting,guns,bullets,killing,murder,death,pain,grei, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1012,body,hand,toe,feet,hair,slim,brown,pink,lovely,short,tall,human,legs,arm,head,eyes,ears,mouth,lips,eyelashes,eyebrows,ears,neck,lips,tounge,shoulder,back,spine,brain,muscles,chest,stomach,torso,hips,thighs,butt,calf,knees,elbows,fingernails,breast,alien,foriegn,immagrant,peace,blood,nerves,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
