ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147,word 148,word 149,word 150,word 151,word 152
1000,body,bag,death,coroner,wagon,table,drawer,cooler,autopsy,mystery,identification,license,curtain,window,cover,shroud,funeral,dirge,dead,died,killed,murder,strangle,stab,shoot,gun,trigger,permit,defense,blindfold,firing,squad,sentence,chair,electrocution,killer,sentence,attorney,court,lawyer,judge,decision,prison,prisoner,escape,wardon,bribe,phone,governor,mansion,government,election,vote,moron,uninformed,test,politics,court,term,limit,office,hold,impeach,frame,fake,hide,lie,insane,crazy,democrat,unbalanced,topic,went,over,under,after,fair,news,extinct,past,presen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,body,hands,feet,toes,nails,fingers,thumb,skin,dark,light,bulb,room,televison,shows,watch,bored,sleep,bed,buy,store,drinks,beer,soda,food,bread,bake,oven,refrigerator,cold,hot,sun,plants,garden,dig,dirt,seeds,water,drink,milk,cow,beef,steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,water,river,sea,noise,calming,relaxed,massage,oil,table,therapist,rubbed,relaxed,home,bed,sleep,husband,wife,marriage,years,happyness,family,kids,friends,fun,bar,drinks,whiskey,beer,socialize,club,music,loud,children,playing,outside,playgroud,many,tired,bath,clean,cook,food,healthy,fruits,vegatables,broccoli,green,leafy,kale,smoothie,protein,shakes,excerise,workout,gym,scared,weightloss,20lbs,soon,unhealthy,doctor,worried,scared,honest,gain,loss,gamble,casino,lasvegas,nevada,georgia,peach,watermelon,fruit,food,eggs,coffee,creamer,sweet,candy,gummy,kids,love,junk,food,pizza,cheesesteak,fries,buy,shopping,grocery,store,mall,fun,buy,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,water,stream,river,bed,room,home,house,live,dwelling,family,spouse,kids,grandkids,grandparents,extended,love,happiness,hope,bond,future,plans,intentions,need,desires,wants,hopes,ambitions,together,unit,typical,need,want,plans,future,money,job,career,retirement,old,age,grace,compassion,love,trust,will,plans,desire,lust,sex,connection,person,friend,relate,trust,faith,religion,relationship,bond,dedication,commitment,wedding,contract,promise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,body,bag,feet,strength,star,body,frank,loss,haven,sound,scar,murder,prank,young,wrong,bad,hop,start,car,wheel,rim,canyon,grand,camen,tropical,green,lush,bush,forest,fish,lure,story,panic,fear,loathing,vegas,tv,cat,door,hoop,jump,toward,trouble,murder,mystery,book,ereader,kindle,mystery,story,steel,dragon,red,hot,gumball,spice,paprika,eggs,beat,wisk,fork,cook,oregonal,omlete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,water,flow,fish,river,country,men,girl,body,murder,sad,worried,wife,man,children,funeral,suspicion,talk,ask,excuses,bad,whisky,drink,coffee,kitchen,clean,work,computer,read,time,reading,story,ending,books,unfinished,finish,family,type,desktop,cold,jacket,quiet,music,news,radio,listen,think,truggle,difficult,window,birds,dogs,birdfeeder,leaves,daffodills,garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,water,lake,river,swim,water,wash,car,boat,truck,fire,house,yard,garden,dig,dirt,shove,shovel,rake,leaves,mess,trash,bag,garage,door,drive,road,cars,lanes,signs,letters,book,read,sentence,word,book,magazine,picture,color,magenta,red,blue,green,white,black,type,blank,music,metal,blast,loud,fire,crowd,noise,jams,guitars,bass,drums,wood,metal,chrome,shine,wax,yellow,red,green,grass,tree,branch,leaf,dirt,rake,walk,run,bike,path,track,ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,body,death,burial,plot,story,book,reading,glasses,contacts,doctor,examination,healthy,happy,content,secure,money,job,salary,mortgage,house,modern,furniture,credit,balance,bar,booze,drink,alcohol,gin,tonic,english,australian,boyfriend,melbourne,flight,long,short,feet,shoes,heels,slacks,purse,belt,whip,cream,jello,strawberries,pie,cake,red,blue,turquoise,favorite,sushi,asian,dinner,eat,late,tv,netflix,movie,sleep,alarm,wake,dog,outside,fish,inside,coffee,games,computer,turk,money,groceries,bills,payday,happiness,payment,car,drive,vacation,international,holyland,jerusalem,christ,pray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,body,girl,dead,water,river,fish,camping,forest,fire,australia,outback,sydney,kangaroo,wallaby,koala,bear,mountain,lion,africa,congo,gorilla,jungle,giraffe,zebra,lion,king,queen,spain,gold,metal,olympics,japan,tokyo,sushi,food,restaurant,hamburger,beef,cow,eat,hunger,meal,dinner,table,chair,seat,cushion,soft,sponge,sea,ocean,water,blue,waves,seagull,birds,wings,buffalo,plains,oklahoma,indians,cowboys,guns,west,horses,gambling,vegas,casino,slot,money,cash,coins,silver,dollar,president,washington,capital,liberty,freedom,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,water,blue,clear,river,lake,ocean,fish,stream,clean,spring,flowers,plants,garden,sun,shine,pond,fishing,rod,catfish,salmon,bass,crawfish,cook,fire,logs,camping,cabin,fireplace,fall,winter,summer,barbecue,family,beach,friends,son,daughter,brother,sister,mother,father,home,camping,canoe,boat,relaxing,chill,hangout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
