ID,cue,word  1,word  2,word  3,word  4,word  5,word  6,word  7,word  8,word  9,word  10,word  11,word  12,word  13,word  14,word  15,word  16,word  17,word  18,word  19,word  20,word  21,word  22,word  23,word  24,word  25,word  26,word  27,word  28,word  29,word  30,word  31,word  32,word  33,word  34,word  35,word  36,word  37,word  38,word  39,word  40,word  41,word  42,word  43,word  44,word  45,word  46,word  47,word  48,word  49,word  50,word  51,word  52,word  53,word  54,word  55,word  56,word  57,word  58,word  59,word  60,word  61,word  62,word  63,word  64,word  65,word  66,word  67,word  68,word  69,word  70,word  71,word  72,word  73,word  74,word  75,word  76,word  77,word  78,word  79,word  80,word  81,word  82,word  83,word  84,word  85,word  86,word  87,word  88,word  89,word  90,word  91,word  92,word  93,word  94,word  95,word  96,word  97,word  98,word  99,word  100,word  101,word  102,word  103,word  104,word  105,word  106,word  107,word  108,word  109,word  110,word  111,word  112,word  113,word  114,word  115,word  116,word  117,word  118,word  119,word  120,word  121,word  122,word  123,word  124,word  125,word  126,word  127,word  128,word  129,word  130,word  131,word  132,word  133,word  134,word  135
1000,water,drip,drop,splash,wash,clean,shower,bath,tea,sea,juice,life,dilute,river,lake,stream,fish,canal,resevoir,waterpark,rainfall,slush,ice,coffee,cooking,bottles,toad,lillypad,tadpole,evaporation,condensation,puddle,h20,fluid,snowball,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001,water,boat,sail,sea,shark,jaws,movie,avengers,heroes,father,husband,son,daughter,sister,brother,family,dog,cat,fish,pets,vet,doctor,medicine,health,body,mind,memory,brain,jar,cupboard,tins,vegetables,carrots,peas,potatoes,turnip,ground,dirt,insects,flies,beetles,dung,fertilizer,crops,tractor,farm,farmer,morning,sunrise,sky,clouds,rain,hills,creek,river,fishing,hobby,gaming,pc,technology,future,children,school,education,history, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1002,water,drink,glass,window,curtains,fabric,clothes,shirt,trousers,belt,leather,sofa,seat,cushion,lay,bed,duvet,pillow,sleep,tired,work,pay,money,bank,investment,save,rescue,recover,alive,live,enjoy,party, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1003,body,chest,muscle,excercise,sport,enjoyment,fun,enthusiasim,spectator,wave,cheer,beer,glass,bottle,break,cut,stitches,doctor,hospital,medication,drowsy,sleep,bed,pillow,room,comfort,relax,enjoy,peace,tranqui;,family,wife,children,parents,love,respect,helpful,trust,happiness,friends,sport,challenge,fit,fitness,running,hockey,stick,ball,net,ball,field,astroturf,pit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1004,water,drink,wet,dry,arrid,sand,beach,sun,hot,fire,log,wood,forest,grass,trees,leaves,flower,floral,petals,gift,present,love,affection,nice,bad,awful,terrible,disaster,help,assist,people,crowds,individual,lonely,elderly,pleasant,grandparent,family,brother,sister,brother,son,daughter,aunt,uncle,together,apart,separate,joined,loose,tight,nut,tools,screw,furniture,carpet,design,fashion,dress,cardigan,tshirt,socks,tie,office,paperwork,letters,computer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1005,water,cup,drink,dog,cat,bat,squirrel,nut,tree,oak,maple,canada,french,france,spain,italy,pizza,food,burger,american,ford,cars,travel,holiday,sunshine,relaxing,beach,sand,sea,land,mass,physics,school,bus,transport,train,cinema,popcorn,movie,ticket,sports,football,champions,gaming,friends,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006,water,liquid,tap,sink,dishes,plates,food,dinner,pizza,italy,europe,croissant,baking,cake,birthday,candle,burn,fire,danger,car,traver,distance,far,near,short,dwarff,apple,fruit,healthy,exercise,sport,competition,lose,find,search,missing,gap,tube,station,stop,light,bulb,plant,garden,mow,grass,pitch,song,music,piano,key,door,lock,bridge,river,boat,sail,regatta,posh,rich,elite,polo,horse,rein,queen,royal,monarch,sovereign,money,pound,weight,fat,unhealthy,grease,chips,fish,ocean,coral,swim,float,parade,walk,nature,tree,leaves,green,fresh,new,old,wrinkle,ruin,castle,history,fact,lie,pinochio,fairytale,story,fiction,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1007,body,part,hand,foot,head,brain,skull,bone,muscle,blood,heart,stomach,liver,kidney,skin,nails,hammer,drill,wood,axe,board,game,video,music,song,dance,party,joy,fun,happy,sad,depressed,despondent,annoyed,irked,scared,frightened,fearful,lion,tiger,bear,deer,antelope,zebra,ape,monkey,zoo,zookeeper,cage,circus,acrobat,juggler,fire,logs,marshmallows,stick,branch,tree,leaf,folia, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1008,body,mind,heart,soul,mate,love,family,friends,siblings,brothers,sisters,neices,uncles,aunts,cousins,grandfather,grandmother,ocean,seashell,sand,water,earth,fire,wind,sun,moon,star,solarsystem,galaxy,eclipse,hail,tornado,snow,ice,water,drink,food,candy,cookies,cats,dogs,mice,lizards,reptile,desert,farm,cow,pig,rooster,chicken,goat,sheep,cattle,bull,bullhorn,car,truck,rig,house,cottage,hut,,box,card,present,dinner,lu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009,body,part,time,limit,capacity,bearing,noble,person,human,being,living,person,mortal,death,old,vulnerable,weak,strong,proud,elite,smart,privileged,poor,destitute,worn,faded,flower,rose,red,blood,pressure,health,secrets,TRUE,FALSE,positive,battery,energy,giving,charity,group,herd,animals,dog,cat,kitten,puppy,calf,cow,milk,food,shop,cash,work,life,energy,drink,thirst,stream,thought,mind,health,care,self,me,who,family,member,belong,community,action,being,single,alone,together,one,number,decimal,education,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
