ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144,word 145,word 146,word 147
1000,plane,air,cloud,sky,sun,heat,hot,cold,freeze,brrr,frostbite,red,colors,shapes,square,rectangle,circle,sphere,earth,land,continents,countries,world,nations,government,election,president,senate,court,lawyer,defendant,plaintiff,verdict,sentence,prison,freedom,rights,laws,senate,senator,congressman,congresswoman,elected,race,competition,running,track,sports,olympics,amateur,team,basketball,baseball,field,stadium,crowd,cheer,run,score,win,lose,tie,suit,clothes,pants,jeans,shoes,dress,shirt,laundry,laundromat,coins,quarters,money,currency,conversion,religion,church,temple,mosque,worship,pray,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1001,secret,door,key,lock,thief,crime,judge,jail,shank,knife,blood,medicine,doctor,house,bitter,right,left,politics,war,soldier,gun,defense,family,wife,warmth,fireplace,peasants,squalor,nobility,wealth,rugs,tapestries,monks,tonsure,printing,letter-press,newspapers,journalist,daredevil,netflix,corporations,amoral,sociopaths,manipulators,abuse,narcissism,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1003,plane,sky,fly,bird,food,eat,cook,work,satisfy,stomach,pat,head,think,study,analyze,book,read,time,lost,sad,unhappy,lost,walking,wandering,longing,lost,needy,mother,protection,failure,retry,lost,why,bother,tempted,needed,coddle,child,new,fresh,untainted,pure,innocent,angel,god,religion,christianity,jesus,fake,lie,money,get,truth,facts,logic,emotion,chaos,unreal,vague,space,infinity,fly,good,stardust,floss,interspace,wormhole,warped,torn,floor,defeated,down,beat,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1004,plane,air,plane,air,plane,air,wing,chicken,bird,fly,plane,air,wing,chicken,fry,food,eat,fork,pig,sloppy,mud,dirt,dry,sand,worms,meal,scaly,snake,teeth,bit,dog,bark,loud,noise,sleep,snore,still,water,drink,thirst,mouth,teeth,chew,food,hot,meal,drive,through,hamburger,ketchup,salty,sweet,smoothie,pineapple,yellow,chicken,mean,vicious,dogs,bite,scratch,alert,time,watch,invent,thomas,school,learn,adventure,think,propose,write,initiate,brainstorm,engage,friends,party,hat,soft,warm,summer,lake,swim,wet,cold,towel,blanket,sand,worms,snow,cold,ice,thick,dead,dog,vet,sickness,snot,cold,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1005,secret,tell,expose,lie,hate,love,husband,wife,good,happy,sad,depressed,unfaithful,adultery,divorce,assest,split,move,house,pleasant,dessert,icecream,chocolate,sprinkles,rain,storm,thunder,lightening,fear,anxious,nervous,alcohol,drink,rum,bottle,juice,milk,water,drink,soothe,massage,rub,pleasant,home,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11006,plane,exit,door,room,house,neighborhood,city,state,nation,war,taxes,rights,voting,politics,candidate,president,leader,corporation,business,product,car,travel,transportation,foreign,press,news,arguing,disagreement,reason,logic,passion,guts,knowledge,learning,book,reading,writing,publish,success,interest,hobby,vocation,calling,ambition,focus,training,professional,success,failure,sadness,depression,resignation,give,take,donate,charity,volunteer,animals,dogs,cats,pets,love,bond,partner,relationship,dating,togetherness,family,longing,divorce,fear,trepidation,hesitation,regret,hostility,anger,betrayal,heart,trust,loss,laughter,humor,joke,closeness,friend,plans,party,birthday,anniversaty,holiday,thanksgiving,christmas,birthday,trip,hotel,room,concert,gamble,restaurant,food,pizza,taco,queso,pancakes,waffles,nachos,margarita,burrito,mexican,cuban,sushi,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11007,secret,code,number,pad,lilly,lake,water,hose,pipe,bong,bong,bongo,game,time,change,money,wire,brush,teeth,vinyl,floor,dust,proof,judge,ment,behave,bad,health,exercise,part,auto,bahn,germany,nazi,hitler,putin,trump,republican,rich,greedy,onepercent,walmart,huge,chinese,containers,shipping,economy,democracy,america,free,guns,possibilities,sports,lebron,nba,champion,warrior,great,alltime,jordan,basketball,shoes,blacks,poor,crime,fatherless,ghetto,trash,trailer,midwest,corn,fields,denver,rockies,weed,taxes,roads,services,undocumented,mexico,cartel,drugs,border,wall,shutdown,washington,congress,pelosi,obama,hillary,bush,911,terrorist,iraq,war,mass,destruction,chene, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11008,secret,story,beginning,dog,cat,garden,trees,plants,leaves,snail,small,rock,dirt,vegetables,green,lime,butterfly,sunshine,blue,table,potting,water,lake,fishing,trout,down,stop,prune,cook,noodles,pot,floor,rug,collar,horse,smell,lemon,cinnamon,pepper,grow,light,flow,orange,giants,baseball,basketball,march,duke,eggs,scrambled,butter,milk,cheese,sharp,smoked,wood,deer,chipmunk,mouse,snake,red,purple,grass,vines,spoon,coat,jacket,donkey,cows,moo,barking,woof,fire,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11010,secret,key,chain,less,likely,TRUE,love,forever,marriage,life,circle,eart,life,human,animals,man,woman,beautiful,inside,self,personal,home,life,family,children,babies,love,desire,happy,life,forever,together,couple,couple,dating,single,dating,romance,sweet,candy,chocolate,cake,birthday,children,youth,baseball,t, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11011,secret,sequre,life,family,love,happy,joy,please,kind,helpful,need,mind,thought,exprience,work,hard,money,good,friend,relation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
