ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144
1002,water,bottle,cap,lid,pot,pie,apple,cider,hard,boiled,eggs,chicken,farm,hand,towel,rack,shelf,book,mark,marker,draw,picture,frame,art,house,fence,gate,latch,key,lock,secret,hide,seek,find,map,treasure,chest,armor,knights,castle,king,queen,princess,crown,jewel,diamond,ruby,emerald,ruby,red,face,makeup,art,drawing,painting,museum,guide,tour,france,crepe,paper,pencil,case,luggage,travel,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1003,water,board,walk,way,finder,keeper,property,value,profit,margin,allignment,space,exploration,adventure,rigorous,difficult,hard,work,effort,achievement,celebration,party,socializing,friends,family,tree,nature,outdoors,environment,climate,science,biology,organisms,life,purpose,decisions,morality,personality,behavior,happiness,emotion,brain,function,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1004,water,drink,liquid,gas,solid,waste,garbage,cabbage,garden,flowers,yellow,submarine,sandwich,earl,duke,dog,dachshund,wiley,coyote,roadrunner,fast,car,messy,house,warm,cocoa,chocolate,movie,theater,pix,grandma,cinnamon,tan,hide,animal,cute,dachshund,shifty,dress,mom,sewing,machine,washing,laundry,piles,hemerhoids,sore,bandaid,fix,stay,motel,fun,festival,lively,bouncy,ball,bathtub,lovely,woman,strong,circus,tent,play,games,chess,cookies,sweet,candy,store,bright,beach,sand,castle,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1006,body,soul,mind,spirit,god,religion,belief,philosophy,college,school,education,children,happiness,sadness,emotions,heart,muscle,bodybuilding,barbell,workout,motivation,desire,anticipation,expect,relief,joy,happiness,goals,ambitions,work,money,family,career,purpose,fulfillment,peace,earth,solar,system,space,aliens,conspiracy,dawkins,evolution,monkeys,apes,gorillas,bamboo,panda,giraffe,zoo,enclosure,cage,lion,gazelle,eat,predator,prey,nature,survival,fittest,fit,female,attractive,body,beautiful,korea,plastic,surgery,tokyo,japan,asia,women,yellow,fever,nile,mosquito,africa,net,donation,charity,money,green,colors,vibrant,rainbow,wavelength,science,atmosphere,rain,cloud,cumulonimbus,school,high,science,biology,friends,classmates,graduation,worry,jobs,fear,quit,resign,disappointment,mturk,freelance,simple,home,bed,sleep,relax,enjoy,laptop,keyboard,mouse,functional,purpose,script,programming,learning,confusion,excitement,sumo,wrestling,enjoyment,wonder,splendor,, , , , , , , , , , , , , , , ,
1008,body,mind,soul,spirit,team,effort,hard,soft,nice,kind,mean,average,simple,complex,carbs,food,hungry,emotion,feelings,desire,dreams,sleep,night,morning,awake,alive,humanity,world,planet,earth,people,animals,nature,trees,green,color,sound,music,instrument,guitar,playing,children,school,college,employment,survival,camping,hobby,activity,movement,pattern,art,paint,soothing,calm,rain,growth,change,money,working,stress,health,doctor,appointment,late,early,bird,flying,travel,excitement,adventure,bold,italics,font,keyboard,computer,technology,economy,stocks,wealth,greed,charity,volunteering,shelter,storm,disaster,tragedy,war,peace,happiness,sunshine,summer,nostalgic,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1009,body,part,whole,foods,groceries,store,purchase,money,bank,account,interest,taxes,government,politics,congress,ineffective,partisan,democrat,party,keg,beer,college,greek,gyro,arbys,archer,cartoons,comedy,funny,standup,chrisrock,comedian,seinfeld,tv,news,politics,trump,impeach,jail,corruption,money,stocks,investing,economy,stability,quiet,routine,peace,normal,different,unique,unicorn,myth,hercules,disney,cartoons,childhood,movies,leisure,sports,games,friends,socializing,dinner,fun,shopping,recreation,hiking,camping,dogs,animals,nature,outdoors,fishing,hunting,guns,shooting,news,schools,kids,annoying,tired,sleep,bed,night,rest,work,paycheck,lifestyle,bills,finances,life,game,monopoly,property,money,ownership,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1010,body,shape,style,image,self,health,nutrition,eating,food,strong,healthy,tasty,garden,growing,earth,basic,vegtables,dirt,nature,sowing,seeds,plants,life,fun,healthy,cooking,fresh,learning,creating,planning,smart,positive,strengh,uplifting, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1012,body,human,person,arms,hands,skin,blood,organs,biology,science,anatomy,human,species,animal,fur,fuzzy,hair,head,eyes,sight,perception,senses,touch,feel,fingers,nails,tap,smooth,surface,outside,world,discovery,explore,recognize,find,discover,learn,wonder,imagination,dreams,goals,future,fun,excitement,new,different,unique,experience,done,event, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1013,water,wet,damp,grow,h2o,slick,soaked,humid,uncomfortable,mud,thirst,drink,ice,dry,cloud,ocean,lake,streem,tap,filter,clean,hot,bucket,hose,rain,drain,main,pipe,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1014,water,ocean,sea,river,pond,lake,coast,beach,shore,island,peninsula,fish,shark,octopus,crustacean,aquarium,coral,shells,seabed,desalination,acidification,rain,drizzle,wet,damp,moist,dripping,storm,typhoon,hurricane,raining,sprinkler,hose,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
