ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122
3004,body,mind,brain,memory,childhood,school,friends,party,birthday,cake,sweet,sugar,cream,cheese,pizza,breakfast,diet,exercise,fitness,yoga,freshness,nature,trees,forest,wildlife,animals,lion,king,queen,palace,history,kingdom,palace,luxury,diamond,necklace,jewelry,valuable,trust,relationship,love,affection,trueness,baby,smile,happy,enjoyment,vacation,beach,ocean,s, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3006,water,wet,cold,warm,soft,comforting,nice,good,happy,emotion,nature,earth,pleased,tree,interesting,bored,tired,annoyed,minutes,task,thinking,brain,throughts,human,person,empty,frustrated,uncertain,sad,angry,chair,house,things,own,money,green,cash,spending,rewards,effort,greed,want,shoe,foot,sock,clothing,dress,shirt,more,bright,pants,top,necklace,earrings,silver,gold,interesting,wanting,eat,hungry,thinking,stocks,eager,market,amazon,spending,products,social,media,writing,paper,pencil,drawing,image,creative,art,artist,words,task,minutes,clock,waiting,time,ticking,tock,more,paid,check,patience,numbers,adding,calc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3007,water,wet,dry,blue,thirsty,sand,desert,apples,red,taylor,clothes,silk,spider,web,superhero,cape,fabric,stain,dirt,brown,hair,smooth,silk,spider,egg,rabbit,carrot,orange,juice,grape,purple,rain,wet,raincoat,yellow,sun,hot,burn,aloe,smelly,gas,car,honda,white,cloud,sky,blue,moon,cheese,yellow,monkey,fur,bugs,ladybug,spots,dog,firehouse,helmet,plastic,bottle,sprite,lemon,yellow,hat,baseball,crowd,virus,needle,blood,bandage,sticky,jelly,grape,squish,shoes,heels,pain,ice,cold,winter,snow,outside,snowman,carrot,rabbit,fur,keychain,keys,lock,house,couch,pillow,sleep,dark,quiet,bell,school,class,desk,teacher,apple,worm,disect,smell,shampoo,, , , , , , , , , , , , , , , , ,
3009,water,wet,ocean,fish,coral,seaweed,green,grass,sky,blue,music,sound,hearing,smelling,food,eating,steak,fork,spoon,icecream,desert,treat,spoil,fun,laughter,smile,teeth,dentist,toothbrush,toothpaste,floss,dance,charleston,south,north,west,eat,food,delicious,meals,family,together,welcome,mat,store,walking,shoes,socks,feet,pedicure,saloon,beauty,health,wellness,content,happy,joy,winter,christmas,presents,tree,acorn,oak,leaves,raking,lawn,mow,cow,spots,moo,farm,farmer,person,community,local,village,town,city,nightlife,out,burger,grill,beer,cold,winter,snow,ice,tranquility,peace,spa,sauna,hot,heat,summer,outside,enjoy,skateboard,skatepark,tr, , , , , , , , , , , , , , , , , , , , , , , ,
3016,water,bucket,hat,cap,bottle,coke,diet,food,eating,drinking,alcohol,beer,belly,stomach,ache,pain,hurt,harm,assault,jail,prison,cage,bird,hawk,eagle,symbol,association,club,bat,ball,basketball,sport,polo,horse,wild,jungle,humid,tropics,beach,vacation,break,shatter,pieces,parts,gears,clock,time,infinite,forever,eternal,lasting,friendship,companionship,relationship,love,hate,fear,scared,cat,dog,pet,family,home,house,brick,ti, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3017,water,ice,drink,soda,sugar,candy,strawberry,fruit,orange,color,crayon,child,school,book,reading,smart,glasses,eyes,see,hear,speak,talk,friend,lunch,eat,food,steak,meat,animal,dog,pet,tail,wag,happy,smile,kindness,nurse,doctor,hospital,patient,person,human,evolution,science,facts,theory,guess,jeans,pants,blue,sky,clouds,rain,wet,water,puddle,boots,work,job,salary,paycheck,bank,deposit,money,green,grass,lawn,house,home,furniture,decoration,design,taste,expensive,rich,wealthy,elite,politics,president,office,chair,desk,cubicle,boss,duty,hours,weeks,months,time,clock,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3024,body,armor,chain,link,game,score,basket,weave,blanket,warm,summer,hot,coffee,caffiene,sleep,night,walker,zombie,land,forrest,tree,monkey,ape,gorilla,mist,rain,snow,winter,awesome,sauce,tomato,salad,lettuce,dressing,ranch,netflix,expensive,diamonds',clarity,words,language,english,school,math,subject,history,europe,france,crazy,lunatic,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3026,body,finger,hand,arm,shoulder,bicep,collarbone,neck,back,abs,breasts,stomach,belly,navel,chest,heart,leg,knee,feet,toes,head,heair,tongue,eyes,nose,mouth,teeth,ears,head,limbs,body,,,brain,skull,bones,skin,biceps,muscles,blood,bloodstream,ribs,throat,nails,cheeks,chin,eyelids,earlobes,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3028,water,wet,rain,drop,hat,cat,food,truck,stop,light,house,fence,grass,cut,hair,dye,paint,color,sky,cloud,sun,moon,space,mars,alien,ship,sea,fish,dolphin,pet,dog,cat,fur,ball,baseball,basketball,football,sport,fnas,fans,support,team,work,truck,driver,gas,fuel,milage,meter,connection,internet,wifi,privacy,snoop,sneak,steal,goods,stock,market,place,house,sitter,child,baby,doll,crib,bed,rock,roll,paper,plane,flight,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3029,body,arm,top,pants,army,cloud,earth,man,god,animal,watch,car,road,rod,fingernail,doctor,bed,atool,cow,metal,ring,telephone,single,house,grass,mountain,chicken,carrot,wall,water,terrible,urine,concrete,stale,rum,ticket,music,people,negative,color,hat,marble,second,star,black,mission,many,food,now,heavy,tamberine,talking,baby,nipple,harmony,slack,sway,neptune,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3031,body,dress,shrit,pant,belt,pant,shirt,shruge,chudi,shawl,saree,gym,toneup,muscles,workout,exercise,do,walking,bra,panty,watch,timex,rollex,titan,digital,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3033,body,part,heart,cardiac,muscle,myofascial,massage,oil,change,seasons,greetings,hello,goodbye,partings,meetings,ways,days,nights,moon,stars,celebrities,fame,awards,recognition,success,money,happiness,joy,peace,love,caring,tenderness,honesty,truth,sass,shade,tea,rude,churlish,chicanery,disrespect,defeatist,nihilist,hopeless,dark,stormy,rain,thunder,lightning,mcqueen,steve,bannon,kelly,friend,partner,cooperation,difficulties,ease,pain,aspirin,headache,sinus,cavity,cave,stalactites,stalagmites,minerals,bats,halloween,candy,cavities,flossing,brushing,hair,dye,bright,colorful,alive,dead,gone,empty,nothing,darkness,light,force,physics,vector,math,chemistry,pain,pleasure,joy,genuine,truthful,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3035,body,human,boy,girl,school,teacher,university,degree,tuition,loan,money,job,work,hard,easy,game,home,family,dinner,fun,happy,always,often,sometimes,vacation,beach,swim,water,cold,sun,summer,winter,christmas,presents,tree,together,family,marriage,young,old,sick,medicine,doctor,hospital,er,crowded,wait,alone,sad,depressed,help,friends,party,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
