ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119
1000,,wood,camper,sidewalk,stars,truck,building,river,sand,coast,tree,eye,rock,car,belch,pasture,urban,linguistic,army,tether,scared,rise,rinse,scrape,divit,hollow,break,brake,sound,nice,climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,happy,dog,alert,play,toy,run,sun,day,night,alive,moon,stars,sky,night,sleep,dream,blanket,comfortable,cat,relax,grapes,computer,love,pillow,girlfriend,couch,sit,be,television,picture,take,steal,peel,banana,chair,split,game,board,grass,close,shy,sneaky,quiet,cunning,creative,sinister,rug,flowers,shell,sea,swim,lake,ocean,candle,breeze,fire,move,blow,fist,nose,smell,stinky,hefty,trash,garbage,man,poof,woof,helmet,bike,ride,sidwalk,crash,car,driving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,car,bus,couch,brain,skin,hair,rug,floor,dog,cat,table,ear,nail,window,shoe,sock,finger,computer,door,chair,couch,plant,grass,bird,deer,picture,clock,wagon,leaf,mirror,truck,pool,bath,towel,makeup,bed,sheet,toe,ring,earring,necklace,doctor,nurse,lawyer,money,lamp,sweater,coat,snow,rain,sleet,wind,sun,sunscreen,purse,backpack,frame,hammer,saw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,car,house,desk,mouse,checkbook,basket,lamp,bear,screen,rack,bookcase,road,sign,vase,cannon,eagle,picture,box,son,light,girl,ketchup,book,telescope,putty,tape,baseball,owl,instructions,glasses,letter,stickers,white,speakers,straw,vacuum,garbage,frame,dresser,haircut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,bread,bake,eat,relax,sleep,awake,night,dinner,glass,window,table,pour,salad,burger,petty,ketchup,cooldrink,sandwitch,shwarma,juice,coffee,tea,whisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,car,gasoline,fuel,travel,destination,road,arrival,departure,airport,van,highway,sign,exit,town,store,shopping,cart,clothes,shoes,hats,gloves,socks,aisle,parking,fee,exit,drive,motion,traffic,tires,bumper,sticker,message,shoutout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,hops,drops,grab,tackle,sack,touchdown,down,quarter,safety,endzone,running,soccer,ball,team,player,basketball,hoop,basketball,jumper,dunk,slam,wrestling,wwe,rock,rope,whip,punch,kick,fall,hurt,ache,pain,soak,bath,shower,water,drink,cup,bowl,stove,beef,pork,steak,fry,saute,butter,churn,milk,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,game,pawn,chess,rook,queen,king,operation,monopoly,boggle,sorry,spades,dominoes,uno,connect,four,wound,cereal,boxing,hammer,crime,unity,same,free,obnoxious,ridicule,obstacle,challenge,deny,harrow,field,shovel,rake,drain,pipe,industry,tractor,balloon,ball,bat,swing,rat,cat,dog,skunk,kitten,water,garden,bubbles,soap,bath,shower,sink,toilet,kitchen,fridge,stove,washer,dryer,cleanser,bleach,kite,beach,ball,snow,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,happy,Joy,excited,money,future,living,glorious,animals,planet,saving,moment,dogs,monkey,books,listen,help,right,portion,complete,music,waves,sound,clapping,forgetful,bottles,furry,depot,justice,rain,astronaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,write,read,type,listen,drag,mud,hear,tune,song,video,under,over,tuesday,thursday,wednesday,dragon,pick,up,down,over,together,friend,love,cute,cool,help,nice,kind,caring,compassionate,yale,mother,father,cousin,friend,treat,you,me,hr,crystal,need,ghost,got,to,jog,walk,run,joy,hate,tread,duck,water,peas,bread,mind,meld,weld,machine,room,house,cat,vet,hurt,blood,bone,needle,hospital,doctor,patient,nurse,care,cost,receptionist,dentist,file,computer,program,tech,code,sister,boyfriend,cats,kittens,feed,great,walk,window,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,books,travel,reading,thinking,cars,school,study,driving,swimming,sleeping,studying,cat,purring,blanket,bed,bookshelf,desk,lamp,toys,couch,professor,learning,sweatshirt,balcony,packing,flying,plane,trip,singing,talking,writing,dancing,fun,enjoyment,leisure,skiing,surfing,beach,tanning,drinking,party,lifeguard,plant,soil,clothes,thinking,towel,brain,tired,sleepy,dog,hamster,climbing,chewing,running,painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,computer,chair,rug,towel,blanket,dog,cat,giraffe,sand,dirt,floor,ceiling,island,jacket,coat,sweater,pants,shoe,show,train,basketball,car,baseball,football,rainbow,flower,trail,hiking,cloud,sun,star,amygdala,trainer,chalkboard,chalk,teacher,student,book,write,pencil,pen,sticker,stapler,receipt,cart,store,path,park,stroller,leash,bag,purse,collar,sleeve,heels,shoelace,land,fly,swim,antelope,passport,luggage,carryon,blind,force,war,stump,cut,bleed,bind,sway,cool,hot,frigid,temperature,rain,snow,sleet,hail,hazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,elephant,chair,shoe,beard,clown,car,bus,foot,elbow,delete,schnauzer,balloon,airplane,scared,fast,booth,club,clips,haircut,cutlass,boat,waves,shark,minnow,narrow,leisure,polyester,canal,coriolis,rainbow,jetstream,trail,leaf,stones,primordial,lizard,bicuspid,monday,lemurian,america,soil,fearsome,persnickety,ecclesiastical,nonsensical,music,brass,quartz,liquid,bottle,cap,twist,groove,thread,battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,please,dont,i,boring,tube,antelope,cute,wheel,story,truth,melon,finger,mario,sleep,skunk,bubble,glass,tower,king,forge,nerd,totality,quality,acute,boron,little,frame,galaxy,forget,blue,cooler,arizona,nothing,mast,jerk,follow,cup,thing,maroon,control,pencil,mailbox,male,turkey,anvil,clobber,sail,forward,blip,angel,china,stodgy,ever,freak,norse,school,yellow,mushroom,collect,freakish,stone,grit,asphalt,page,fledgling,kip,worm,pane,tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,jellyfish,putty,grandma,carol,cup,smell,leaf,queen,story,clap,matter,planet,step,when,their,thank,map,vacuum,motor,while,quest,first,hardy,tampon,squirel,knight,pothole,gravity,certain,heel,firstly,squar,phantom,bobbit,calendar,zebra,until,oriole,rather,fatter,gather,hatter,imbecile,recharge,bury,necromancer,mambo,aquire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,,chart,style,feature,layout,graph,design,creative,art,interior,table,decorations,candle,lamp,lightbulb,ray,house,garden,deck,front,back,lawn,yard,treehouse,rose,flower,lotus,dog,wolves,bobcat,forest,fire,kindling,river,water,rapids,kayak,adventure,rafting,camping,tents,firepits,torches,paint,watercolors,paintbrushes,canvas,beds,books,library,borrow,lend,read,write,cradle,baby,playhouse,dolls,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,dull,fun,serendipitous,exciting,profound,germane,illustrious,facade,running,driving,ocean,cityscape,lawn,short,tall,egregious,stoic,pride,disdain,love,leech,liturgical,left,right,among,partition,promenade,sneakers,flats,staff,administration,condominium,apartment,table,panda,timestamp,teaching,moon,planet,comet,asteroid,driving,golf,club,partake,avoid,inspect,introspection,reflection,retrospective,perspective,push,pull,reading,piano,cello,cellular,metabolism,anabolism,anatomy,science,mathematics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,forest,pen,cat,dog,frog,tree,flower,soil,paper,window,car,school,kid,adult,doctor,nurse,patient,show,event,program,garden,grass,plant,house,apartment,condo,townhouse,store,supermarket,department,company,manager,supervisor,subordinate,angry,mad,happy,thrilled,joyful,sad,depressed,distant,frustrated,annoyed,hopeful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,,well,pump,farm,hit,pothole,school,work,yard,car,bus,truck,name,heart,head,love,mustang,horse,pony,goat,fish,run,jog,sunday,vacation,car,bladder,egg,dog,cat,chicken,yellowstone,island,fountian,pump,jump,tv,mouse,computer,hat,coat,jacket,ads,phone,bed,sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,book,turn,page,large,pain,printer,color,viral,snoop,porn,man,woman,dog,cat,puppy,germ,hand,foot,cream,ganja,acid,fungus,poison,danger,slice,knife,cut,american,flagt,white,red,blue,black,yellow,purple,magenta,snail,wease,warn,woke,wake,spare,train,trade,card,extra,set,collect,expert,study,research,drawing,counting,sixty,one,two,trhee,four,five,six,sex,seven,heaven,eight,straight,nine,fine,ten,again,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeed,eighteen,nineteen,twenty,thirty,fourty,fifty,seventy,eight,ninety,hundred,thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,mouse,rat,mirror,can,shirt,bottle,toothpick,phone,lipstick,remote,dresser,bed,sheets,tissues,plate,necklace,water,book,bookmark,bookcase,paper,bills,cards,monitor,computer,keyboard,wire,electricity,power,calendar,purse,door,window,knob,dial,operator,worker,machine,receipt,cash,dollars,pounds,metric,centimeter,pug,dog,cat,panda,bear,kangaroo,marsupial,koala,penguin,whale,israel,sweater,yoga,halloween,pumpkin,spooky,ghost,scary,witch,female,male,man,woman,mailman,post,wood,shiplap,frame,rabbit,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,want,see,stop,believe,worry,out,come,caring,away,walk,speed,tire,string,strang,strand,step,street,cart,follow,numerate,munch,munificence,magnanimous,renumerate,banal,crepe,crisp,lean,line,hubris,man,mean,line,limb,crest,toll,chivalry,rivalry,magnanimous,creation,intrigue,action,sleepy,holiday,thrill,genre,language,beat,slide,jump,bound,leap,feel,algebra,tour,clock,telepathy,sanguine,hilarity,hysteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,Plant,Computer,Speaker,Game,Controller,Laptop,Phone,Ledger,Passport,Earbuds,Headphones,Gloves,Boxing,Chair,Blanket,Television,printer,Shredder,Charger,Mouse,Shinguard,Massage,Cabinet,Desk,Door,Mug,figurine,book,shoes,notebook,sweater,shirt,frame,photo,pool,filter,bin,doll,vase,frame,poster,stool,hanger,decoration,window,house,storage,school,bike,scooter,notecard,player,arcade,router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,brain,chain,drain,pipe,street,tree,cat,mouse,car,sun,sky,fall,climb,mountain,top,goat,fight,bear,deer,grizzly,leaves,hunt,shoot,river,stream,lake,founatin,fountain,ocean,shark,dolphin,whale,lion,zebra,safari,hyena,dirt,guide,gorilla,monkey,zoo,polar,north,east,south,west,faucet,sink,drain,oven,fridge,microwave,phone,cup,drink,sip,drip,paper,pencil,write,word,essay,test,quize,quiz,professor,grade,college,party,drunk,hungover,sleep,tired,energetic,exercise,weights,marathon,wak,walk,jog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,fun,clock,time,work,school,box,curriculum,blanket,couch,car,train,drive,dance,lessons,sports,baseball,soccer,fieldhockey,tired,fatigue,exhaustion,sick,home,comfort,dinner,bed,relax,movie,mystery,children,clean,cook,garden,mow,river,playground,basketball,running,walking,exercise,visit,friends,comfort,shopping,groceries,household,gasoline,expensive,Biden,upset,frustrated,inflation,immoral,bad,unpatriotic,election,Trump,good,restore,maga,Desantis,proud,helpful,courageous,vote,loyal,clean,pure,water,thirsty,long,hours,tired,pain,medicine,vitamins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,cat,pet,kennel,toy,bowl,plate,box,litter,string,ball,brush,soap,toothpaste,toothbrush,water,soap,tree,leaves,sun,air,sky,plane,bug,ant,bee,wasp,aphids,spiders,snakes,ticks,fleas,vet,doctor,office,desk,counter,table,mat,doorway,outside,inside,carpet,rug,light,nightlight,bulb,tool,toolbox,screwdriver,shelf,hooks,screws,drill,saw,wood,woodbench,dremel,nails,sandpaper,scratcher,catnip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,joy,fun,bike,love,phone,sad,excited,depressed,pen,hat,bag,coffee,fan,computer,lights,house,window,roof,door,plant,garden,snail,worm,mailbox,walway,soil,pool,floaty,water,sprinkler,hose,carpet,wood,bed,mirror,sink,tub,wash,shower,bath,sleep,bedsheet,comforter,pillow,night,stand,moon,sun,stars,owl,beach,heat,kids,play,sandastle,swimming,fun,games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,life,because,they,bed,computer,car,house,family,love,end,enter,ensure,this,that,pad,stove,plates,mirror,type,friends,phone,new,travel,sister,aunt,michigan,tray,concert,ensure,cursor,passport,remote,book,youtube,short,blind,wall,door,flowers,tray,chair,bike,dog,leg,tile,rug,candle,television,love,types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,,mall,stores,shopping,clothes,waiting,sitting,chairs,boredom,phone,games,browsing,looking,ceiling,gray,colors,visual,auditory,hearing,words,english,spanish,languages,foreign,interesting,unique,special,fun,cool,neat,intriguing,unusual,weird,uncommon,rare,xenophobic,alien,green,mars,moon,cheese,avoid,dont,forbidden,wrong,unlawful,illegal,tropic,warm,suntan,sultan,robes,cozy,snug,loose,fitting,itchy,pensive,worried,blank,time,feeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,dog,house,bed,remote,pencil,letter,tree,cloud,airplane,bucket,collar,chair,air,laugh,smile,joke,tense,listen,fine,sentence,fight,slob,comb,chin,foot,shoe,like,loath,final,ant,family,dry,rain,fence,soak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,,play,nice,joy,hat,place,good,pants,airplane,keyboard,jazz,text,phone,kite,computer,mouse,headphones,camera,android,wire,speakers,monitor,glasses,couch,television,bathroom,bathrobe,room,bed,car,pickleball,racket,court,tennis,basketball,baseball,soccer,read,pikachu,pokemon,diablo,arm,legs,microphone,vacuum,bench,weights,chair,plushie,bear,dog,paper,nail,screwdriver,cabinet,drawer,window,curtains,bag,laptop,keys,wallet,watch,clothes,hoodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,,dramaqueen,theophilus,coming,karma,jesus,god,love,real,happy,sad,television,mouse,desktop,keyboard,wallpaper,laptop,sanitizer,moses,cream,husband,wife,son,elder,pastor,wellbeing,house,maserati,duty,days,paper,printer,calm,radio,fridge,block,chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,Tame,Lame,Brain,Same,Pen,Fence,Dog,Cat,Fur,Bark,Computer,Screen,Soap,Gold,Silver,Diamond,Ruby,Guitar,Robot,Wall,Wallpaper,Paper,Paperclip,Clip,Hairclip,Painting,Hair,Lips,Eyes,Keys,Cup,Movie,Film,Box,Music,Wand,Ball,Scepter,Bowl,Cannister,Couch,Zebra,Horse,Toy,Outlet,Purse,Chaps,Pants,Jeans,Blouse,Shirt,Skirt,Glasses,Fan,Microphone,Donut,Cookie,Pastry,Icing,Turkey,Candy,Halloween,Pumpkins,Spices,Leaves,Spooky,Ghosts,Stories,Monsters,Supernatural,Show,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,play,street,kid,husband,mom,chair,sweep,door,car,alien,stop,cabinet,pillow,this,and,desk,clock,start,end,finish,person,teacher,spouse,ring,toes,flashlight,mask,phone,game,heat,pen,bottle,chimney,bats,picture,candle,frame,light,window,sign,drive,beast,dog,animal,restaurant,traffic,work,cubicle,coworker,band,instrument,strings,drums,paint,border,invasion,time,type,screen,survey,bleak,mild,era,ear,end,and,send,straight,black,bend,switch,van,turn,signal,house,furnace,conditioner,shower,wash,sleep,wake,blanket,toddler,bank,money,pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,,goal,try,enjoyment,relaxed,school,home,travel,attention,desire,drugs,educate,alive,healthy,ill,sex,bossom,random,indicate,tour,forex,money,more,rich,poor,knowledge,mini,music,good,dance,walk,roll,run,reach,walk,crawl,ride,ridiculous,reign,fun,fund,fashion,dice,dude,silent,win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,blanket,bear,window,chair,light,book,television,mug,bag,shirt,jeans,lamp,computer,phone,software,plug,mouse,cat,dog,horse,bat,witch,halloween,ghost,dance,shoes,sandals,sweater,gloves,hat,toy,train,car,plane,ruler,remote,monitor,tree,candle,koala,sloth,christmas,easter,painting,clay,tennis,ball,baseball,basketball,pickleball,gymnastics,olympics,jacket,coat,floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,tree,house,car,garage,bicycle,race,winner,podium,medal,game,athlete,sweat,jog,run,football,tennis,baseball,soccer,field,forest,lake,boat,oar,anchor,sail,motor,engine,machine,factory,worker,uniform,police,handcuffs,prisoner,jail,courhouse,judge,gavel,lawyer,paper,envelope,stamp,mailbox,letter,card,birthday,present,gift,ribbon,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,hello,bye,try,cry,cat,dog,him,her,them,computer,Spanish,Dutch,elephant,elaborate,cognitive,sexy,nude,boys,girls,fan,helicopter,sin,Adam,foot,back,neck,chin,television,magnet,phone,brace,jewelry,art,paint,brush,toe,nail,polish,hair,teeth,black,white,sun,moon,stars,water,ocean,whale,music,tablet,screen,door,knob,movie,set,scene,gallery,museum,headache,pills,medicin,medicine,doctor,frog,hot,hog,joggers,paintbrush,eleven,fish,road,highway,bull,penny,quarter,city,town,state,pain,pleasure,will,document,paper,rat,boss,effe,top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,cat,dog,car,went,read,write,ferret,tree,grass,mouse,is,kitten,leaf,dirt,window,door,tv,floor,refrigerator,cold,hot,freezing,scalding,white,brown,black,blue,green,red,yellow,white,black,pink,red,litter,sky,pollution,climate,wheat,weather,grain,forest,ocean,shoes,dress,blouse,shirt,socks,towel,cosmetics,birth,pregnancy,abortion,pen,war,gravel,rock,river,water,fish,school,college,textbook,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,time,watch,fire,top,cape,prat,brat,scat,cop,pop,paper,line,linen,water,wear,rare,quarter,bubble,bub,glock,gun,job,joke,under,train,slain,death,kill,bear,beer,zap,knife,rifle,dapper,nail,board,slick,wet,cut,sword,katana,real,teal,monster,kid,child,bottle,lane,street,car,war,bomb,nuclear,controller,swap,podcast,song,drum,tower,build,boss,manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,sun,burn,out,now,time,clock,board,game,break,mode,era,years,past,time,crunch,abs,situp,stand,down,fur,cat,dog,bark,loud,noise,room,bed,frame,work,week,end,last,name,middle,spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,,Door,Table,Laptop,Window,Television,Radio,Clothes,Belt,Whiteboard,Napkin,Watch,Brush,Comb,Glasses,Alcohol,Smartphone,Cup,Water,Pencil,Mouse,Pill,Chair,Suitcase,Garbage,Key,Kitchen,bathroom,Rug,Pen,Deodorant,Gel,Bed,Box,Computer,Lamp,Wall,Home,Neighbor,Street,Car,Truck,Horn,Construction,Engineer,Mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,,desk,is,going,store,hike,yesterday,we,newport,town,mountain,dress,weather,coat,snow,skis,sled,door,escape,getaway,rental,hotel,yosemite,hiking,backpacking,shopping,ceiling,wall,computer,iphone,power,cord,can,cup,trash,floor,rug,table,work,team,negative,stories,rumors,haunting,ghost,tour,williamsburg,book,read,lots,writer,author,novels,games,word,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,cat,fur,legs,snickers,road,car,door,sit,window,street,buildings,birds,sky,clouds,rain,fall,leaves,decoration,helloween,costumes,candy,night,streetlights,moon,bat,mouse,hole,house,warm,light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,,outside,fall,trees,leaves,air,grass,birds,squirrls,water,fish,dogs,cats,lions,tigers,gray,black,pink,pig,fat,round,mud,dirt,horse,goat,duck,olivia,morgan,pete,morgan,color,sky,grass,green,grass,flowers,plants,dirt,soil,roses,daises,hippos,gray,elephant,hello,Msrachel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,,happy,sad,joy,compassion,love,peace,kindness,gentleness,faith,companion,tree,hourse,yard,horse,house,trip,vacation,rapid,fast,slow,table,floor,mat,car,truck,air,water,sky,limit,gas,coal,fire,wet,dry,drop,castle,wagon,airplane,jump,rope,exercise,weight,walk,run,travel,vacation,woman,girl,man,boy,baby,sister,brother,mother,father,aunt,uncle,neice,nephew,cousin,family,toaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,,lucky,ghost,button,monkey,thread,ribbon,violence,drab,turn,worlds,purple,crayon,dribble,acorn,trees,fellow,mind,kissing,laughing,running,portray,sudden,moving,cars,dust,clouds,raindrops,thunder,glitter,dancing,shoes,broken,bones,gaping,tooth,shatters,candles,whisper,lights,glisten,makeup,dazzles,lipstick,stains,wine,glasses,falter,spills,messes,frills,baskets,maize,dusk,settles,dawn,erupts,shoots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,,money,chain,diabolical,text,game,mafia,girlfriend,jeep,spy,wrench,laptop,this,picture,time,table,mossy,bear,rain,toolbox,secret,job,gorgeous,why,insecure,noise,bass,thump,trunk,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
