ID,cue,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122,word 123,word 124,word 125,word 126,word 127,word 128,word 129,word 130,word 131,word 132,word 133,word 134,word 135,word 136,word 137,word 138,word 139,word 140,word 141,word 142,word 143,word 144
2001,body,bones,muscles,heart,lungs,brain,blood,hands,fingers,toes,skull,eyes,mouth,nose,back,hip,knee,ankle,hair,skin,fingernails,toenails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,water,drink,glass,cup,plate,flork,spoon,knife,cut,deep,water,swim,beach,sand,sun,burn,fire,hot,cold,mountain,peak,valley,dessert,hot,dry,humid,wet,water,slide,swing,park,grass,green,yellow,sun,light,dark,night,moon,sun,bright,shining,star,moon,beam,smile,happy,sad,cry,tear,drop,fall,winter,spring,flower,rose,bush,tree,branch,olive,martini,glass,mirror,bathroom,tub,shower,clean,wash,window,glass,plate,fork,spoon,scoop,icecream,cold,hot,summer,vacation,trip,fall,winter,snow,shovel,rake,leaves,trees,shade,sun,down,up,balloon,air,windy,blow,bubble,bath,clean,wash,dishes,sink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,body,health,doctor,nurse,career,hospital,medicine,care,patient,person,safety,care,caring,comfort,dog,loyal,fun,pet,shelter,adoption,babies,parents,living,home,comfort,raising,parenting,schooling,learn,books,grow,smarts,kids,play,sports,fun,friends,social,parties,games,balloons,cake,icecream,sugar,fat,overweight,exercise,diet,calories,carbs,keto,slim,healthy,clothes,baggy,slender,attractive,love,boyfriend,husband,marriage,home,house,kitchen,remodel,cabinets,flooring,construction,redo,deck,porch,pool,backyard,outside,bugs,animals,gardening,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,water,filter,health,preservation,safety,longevity,wellbeing,fit,capable,strong,powerful,explosive,flexible,enduring,coordinated,balanced,harmonious,tranquil,peaceful,mindful,aware,open,present,content,happy,faithful,creator,purpose,meaning,plan,fate,destiny,role,part,job,task,fun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,body,water,ocean,seagull,bird,flying,wind,storm,weather,rain,river,salmon,fish,gill,breathe,mouth,lungs,heart,blood,red,room,house,door,knock,sound,music,guitar,noise,loud,horn,car,speed,fast,slow,traffic,highway,cement,grey,fog,pier,vacation,summer,hot,sweat,jogging,shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,water,fish,dolphin,whale,shark,seehorse,rain,waves,seafoam,blue,green,island,trees,sand,beach,warm,air,clouds,grain,grass,dirt,road,cars,trains,plastic,scroll,pictures,window,paint,light,bulbs,fork,spoon,tv,console,ps4,gamecube,wii,router,chibi,figures,controller,rabbit,cat,urtain,counter,chair,dresser,closet,pantry,cabinet,blanket,socks,vacuum,broom,mop,oven,stove,fan,dog,pole,cobbweb,spider,tub,room,ceiling,fridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,water,wet,cold,snow,weather,sun,outside,sky,activities,sports,running,skateboarding,fun,friends,snowboarding,mountains,nature,trip,down,fast,speed,plane,trip,overseas,europe,countries,languages,culture,building,art,paintings,paint,color,red,blood,body,flesh,human,animal,cow,meat,food,eat,nutrition,delicious,tasty,mouth,teeth,bite,dog,pet,walk,neighborhood,foothills,rocks,hiking,trails,people,backpacks,food,snacks,fuel,calories,fat,protein,muscles,fit,healthy,skin,clear,wrinkle,age,time,watch,accessory,fashion,vogue,hip,modern,young,new,untouched,pure,snow,white,clean,dirty,dirt,mud,boots,walk,rain,water,wet,clothes,wash,dry,detergent,store,shop,buy,pay,debit,bank,card,cash,savings,goals,ambition,education,school,university,lobo,wolr,mascot,louie,life,long,short,small,big,universe,solar,stars,planets,vast,,,,,,,,,,,,,,,,,,
2012,water,wine,red,color,black,dark,stars,suns,planets,space,bar,drink,water,sip,cup,spoon,fork,project,movie,blockbuster,chain,link,connect,four,number,one,only,reason,justification,left,over,done,finished,complete,do,go,away,far,close,open,mind,heart,soul,spirit,ghost,phantom,seance,resurrection,dead,alive,awake,aware,look,careful,open,door,window,glass,shatter,break,out,inside,music,loud,volume,control,knob,hill,valley,river,bridge,cross,stream,flow,ebb,tides,moon,eclipse,sun,stars,night,fall,bruise,injure,harm,hurt,feelings,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,body,torso,arms,legs,feet,toes,fingers,hands,pencil,draw,sketching,paper,notebook,traditional,digital,tablet,art,create,talent,experience,goals,dreams,nightmares,worry,anxiety,fear,stress,nervous,shaking,sweating,hide,disappear,ghost,spirit,afterlife,heaven,paradice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,water,ocean,beach,florida,vacation,work,money,bills,anxiety,disease,sickness,virus,covid,pandemic,world,earth,usa,country,city,home,house,bedroom,sex,naked,penis,vagina,woman,mom,kids,family,love,fun,life,death,burial,casket,tomb,cemetary,park,nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,body,leg,ear,nose,mouth,eat,food,cook,fruits,tree,plants,flowers,leaf,green,park,nature,mountain,falls,trip,vacation,country,city,state,people,women,men,love,marriage,baby,family,job,salary,employee,ma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,body,arms,legs,chin,eye,lips,tongue,mouth,cheeks,chest,hips,feet,ankles,toes,shoes,ground,walk,jog,run,fast,speed,slow,stop,sign,car,traffic,road,scenery,trees,passing,air,wind,breeze,cold,warm,hot,summer,temperature,rise,drop,low,high,easy,hard,go,leave,enter,exit,entry,outdoor,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,body,head,brain,cell,biology,class,school,teacher,student,locker,hallway,bell,bus,leave,home,homework,write,think,philosophy,study,college,professor,exam,test,think,job,work,money,luxury,rich,happy,joyous,fun,children,play,game,win,victory,champion,loser,loss,bad,sad,depressed,suicide,death,funeral,relatives,family,warmth,christmas,santa,reindeer,sleigh,presents,happy,fun,enjoyable,food,yummy,pasta,sauce,bread,butter,oven,stove,cook,pot,pan,fry,unhealthy,fat,big,small,mouse,cheese,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,water,fall,down,up,high,chair,sit,stand,table,eat,food,farm,chicken,egg,bake,fries,potato,grow,dirt,worms,wiggle,squirm,tired,sleep,pillow,bed,frame,wood,mattress,soft,comfort,chair,read,book,paper,author,writer,job,work,store,shop,supplies,car,drive,gas,fix,tires,bike,ride,outside,sun,grass,trees,park,path,trail,hike,water,river,ducks,geese,fly,clouds,plane,air,travel,friends,party,beer,drink,wine,food,pizza,music,dance,celebrate,fun,movies,actors,tv,couch,popcorn,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,water,water,magic,sad,love,stuart,guilt,hope,world,town,message,feeling,conscious,joy,celebrate,wothwhile,matter,pnone,call,good,fair,lost,willing,helpless,ignore,near,neat,likely,wonderful,lost,near,found,friendly,hate,give,wife,husband,spouse,celebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,body,limb,arm,wrist,break,bone,splint,cast,plaster,ceiling,white,pale,horse,equine,legs,running,feet,shoes,toes,road,gravel,stone,rocks,mountains,snowcap,sky,blue,aerial,flight,aerodynamics,wright,brother,sister,family,genes,dna,acid,chemicals,science,lab,beakers,glass,glassblowing,artistry,paint,canvas,brushes,sable,weasel,slinky,coat,mink,fur,farm,animals,farmer,fields,corn,flour,tortilla,mexico,south,hot,sun,sunshine,beam,window,warmth,cat,curl,ball,carpet,loom,weaving,threads,yarn,knitting,crafts,hobby,fun,leisure,beach,sand,surf,umbrellas,bathing,towels,bathroom,rung,linoleum,floor,subfloor,basement,attic,storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,body,parts,eye,vision,things,box,square,maths,fact,TRUE,FALSE,lie,person,habit,eat,food,vegetables,lunch,dinner,breakfast,salad,oats,slim,fat,stomach,white,black,skin,face,ear,hair,men,women,dress,pant,shirt,colour,green,plants,land,soil,water,ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,water,spring,fresh,mountain,air,snow,tree,birds,moose,bear,salmon,knife,shotgun,cold,ice,roe,oyster,cracker,sauce,pepper,dinner,family,wine,cheese,igloo,alaska,whale,tuna,sashimi,fat,vitamin,sun,thirsty,movie,popcorn,butter,cow,chocolate,money,gold,wallet,butterfly,bugs,bee,honey,,sweet,wasp,hurt,pain,allergy,pollen,drugs,hospital,doctor,virus,mask,dentist,nurse,dog,meat,teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,water,shower,soap,clean,face,eyes,glasses,,drink,vodka,alchol,bar,location,store,grocery,food,apples,tree,forest,camping,fire,warm,heat,hot,cold,ice,chilly,blanket,soft,bed,sleeping,dreaming,ideas,images,photo,camera,lens,window,curtain,fabric,sewing,needle,thread,clothes,dress,woman,male,human,animal,cat,whiskers,hair,head,mind,knowledge,information,book,library,informative,words,article,news,break,rest,,ocean,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,body,energy,foods,fruits,vegetables,protein,meant,cooking,cheap,hotels,tasty,fivestar,helpers,hygienic,healthy,family,parents,job,house,water,gas,rent,economy,stockmarget,investment,profit,loss,savings,medical,hospitals,money,apartment,peaceful,happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,body,home,house,bedroom,mattress,sleep,tired,comfortable,fan,warm,covers,silk,smooth,comfortable,relaxed,nice,pleasant,smell,skunk,animal,bear,cub,cute,panda,eat,bamboo,hollow,rain,gutter,barrel,collect,water,garden,plants,pepper,tomato,squash,lettuce,spinach,kale,broccoli,cabbage,onions,beans,potatoes,store,cellar,dark,winter,cold,snow,white,fluffy,fall,leaves,color,red,orange,yellow,green,spring,grow,plant,seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,body,soul,legs,arms,chest,head,feet,knees,hands,elbow,ankle,rear,boobs,vagina,penis,stomach,heart,viens,bones,arteries,fingers,toes,clothes,shoes,hat,scarf,coat,sweater,pants,shirt,health,disease,exercise,walk,run,mind,eyes,ears,nose,mouth,hair,face,skull,teeth,fat,skinny,tall,short,white,black,brown,strength,weakness,large,small,smell,talk,sing,cheeks,butt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,water,drink,thristy,refreshing,cold,icecream,treat,candy,cookies,pie,dessert,chocolate,pudding,vanilla,jello,wiggle,red,cherry,strawberry,apples,fruit,healthy,yummy,good,nice,friend,party,backyard,food,music,tables,chairs,sit,tired,nap,bed,sheets,mattress,comfortable,slippers,pajamas,headscarf,blackmail,secrets,mystery,detective,clues,gam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
