ID,cue,word 0,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50,word 51,word 52,word 53,word 54,word 55,word 56,word 57,word 58,word 59,word 60,word 61,word 62,word 63,word 64,word 65,word 66,word 67,word 68,word 69,word 70,word 71,word 72,word 73,word 74,word 75,word 76,word 77,word 78,word 79,word 80,word 81,word 82,word 83,word 84,word 85,word 86,word 87,word 88,word 89,word 90,word 91,word 92,word 93,word 94,word 95,word 96,word 97,word 98,word 99,word 100,word 101,word 102,word 103,word 104,word 105,word 106,word 107,word 108,word 109,word 110,word 111,word 112,word 113,word 114,word 115,word 116,word 117,word 118,word 119,word 120,word 121,word 122
1075,,rest,sleep,bed,yawn,tired,cool,breeze,night,dark,fall,leaves,tree,large,over,above,tower,city,roadf,street,paved,black,hot,summer,sun,boil,dinner,oven,stove,sink,microwave,counter,island,tropical,beach,umbrella,tan,vehicle,car,driving,curve,face,scare,ghost,haunted,house,home,settled,cats,black,fur,soft,tale,story,words,flow,speech,voice,room,office,chair,desk,hope,peace,tranquil,dove,park,bench,playground,kids,game,play,board,checkers,skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,hat,cat,rat,sat,bat,cave,dark,stone,cold,desolate,woods,trees,wilderness,quiet,calm,peace,tranquility,walk,trail,stick,sights,animals,squirrel,opposum,birds,chirp,scurry,chipmunks,eggs,bacon,toast,hashbrowns,plate,cup,coffee,yogurt,granola,kefir,sad,hurt,therapy,talk,friend,walk,outside,sunny,hike,woods,trees,beautiful,sunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,,Nice,day,today,weather,cool,refreshing,pleasant,happy,sun,coffee,drink,sweet,earthy,beans,grind,machine,car,oil,tires,cigar,childhood,scent,mall,shopping,mom,grandma,saturday,weekend,off,fun,food,snoop,bad,sneaky,distrust,curious,emails,story,friend,situation,finding,peeping,creepy,curious,neighbor,hiding,secret,old,man,straw,curious,tales,wonder,curiousity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,,shoes,feet,socks,floor,dust,sweep,car,automobile,grand,flash,bang,fire,water,heat,cool,rain,water,waves,sand,beach,boat,ship,ocean,surf,dolphin,shark,fish,sun,moon,tide,gravity,space,snow,white,cold,heat,fire,table,chair,seat,voice,talking,creek,stream,river,lake,water,fish,rocks,man,smile,teeth,laugh,noise,warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,,love,chicken,food,relationship,fiance,humor,show,game,hate,comb,blanket,tray,pen,animal,dog,cat,apple,medication,pill,carpet,tank,hamster,printer,ink,paper,clothes,apartment,house,tenant,pants,shirt,shoes,knife,spoon,water,drink,beverage,sunny,weather,sun,sadness,situations,depression,money,poverty,hardship,friends,lifestyle,mental,health,elderly,clothes,red,color,hair,old,sweater,friend,bright,warm,colorful,art,painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,,be,the,big,pot,mo,rich,baby,love,white,quick,lil,california,raisin,is,the,best,thing,in,the,world,michael,jackson,thriller,movies,film,commercials,show,shoe,horn,kennys,pinko,commie,wretch,love,thy,neighbor,christmas,tree,decorations,family,friends,cut,wound,full,date,rich,expensive,boyfriend,moo,at,the,camp,fire,horror,movie,toy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,,dog,cat,fur,soft,hard,stick,bark,rough,sandpaper,texture,smooth,ice,cold,temperature,hot,summer,pool,water,splash,messy,gross,vomit,green,grass,outside,sun,moon,night,dark,stars,universe,large,small,mouse,elephant,africa,cocoa,chocolate,dark,light,bright,yellow,orange,blue,sea,waves,fish,boat,float,sink,drown,help,sick,hospital,germs,medicine,pills,swallow,drink,cup,empty,full,optimistic,pessimestic,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,,car,house,mous,mouse,moose,top,bottom,high,low,candy,dinner,microwave,heater,sink,teleport,telephone,fancy,rate,same,cancer,block,walk,talk,shop,fight,loop,work,sky,terrace,moon,stars,handy,wrench,workload,cemetary,new,york,world,town,sand,pyramid,shape,cut,climb,sky,cold,late,change,tone,use,market,chain,hamburger,handle,panic,search,sink,walk,talk,lean,cofort,comfort,trade,happy,sad,time,set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,,rat,hole,mole,animal,elephant,trunk,chest,boobs,cancer,growth,tumor,bad,evil,devil,god,religion,harm,hurt,pain,pills,medicine,doctor,pharmaceuticals,sales,commercial,ad,trick,treat,junk,yard,garden,vegetables,fruits,apple,orange,ball,round,circle,shape,body,mind,friend,pal,paypal,payment,card,id,picture,photo,camera,obsolete,neighbor,pal,dog,tail,wag,ears,hear,see,course,class,school,notebook,journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,,smoke,break,outside,dinner,chicken,cook,energy,tired,bored,anxious,date,reply,woman,pretty,lonely,hungry,tired,videogames,weed,chill,funeral,tomorrow,nicer,bailey,grill,gray,gloomy,rain,computer,typing,survey,dull,kerouac,beat,poetry,notebook,work,okay,careless,inane,word,chain,gang,gang,podcase,podcast,kissel,painting,okay,game,listless,energized,pent,up,no,great,dont,care,time,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,,hat,cat,doctor,neurologist,brain,heart,blood,flow,water,droplets,small,ant,colony,british,cold,ice,frozen,skate,sharp,tooth,tiger,orange,bright,sun,space,planet,big,feet,shoe,walking,speed,slow,motion,children,young,pure,clean,earth,sphere,ball,round,moon,night,black,hot,sun,red,balloon,float,sea,ship,slow,old,gray,school,bus,kids,loud,noise,silence,emptiness,cough,math,numerals,decimals,point,mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,,Dog,Cat,Pet,Petstore,Job,Success,Failure,Homeless,depression,anxiety,failure,worthless,dreams,reality,tv,cartoons,youth,happy,innocence,time-travel,unrealistic,horror,movies,Halloween,Fall,Hoops,circus,clowns,elephants,graveyard,crying,depression,dying,crashes,murders,Birds,BlueJay,Finches,Crows,Stalking,Midnight,Shadow,Halloween,Sun,Hot,Swimming,Relaxing,Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,,Rain,needs,to,stop,because,its,always,raining,on,the,weekends,here,i,hate,it,I,wish,it,wasa,nice,fall,weather,instead,If,the,weather,was,nicer,we,could,go,and,do,fall,activities,Activities,like,apple,picking,and,pumpkin,patching,or,even,doing,a,hay,ride,I,wonder,where,all,these,fall,traditions,came,from,Unfortunately,I,cant,do,any,of,them,this,weekend,because,of,this,stupid,rain,Worse,yet,its,not,even,cold,out,I,havent,been,able,to,dye,my,hair,in,a,Her,neighbor,needs,to,learn,how,to,silence,This,neighbor,sounds,like,he,,,,,,,,,,,,,,,,,,,,,,
1278,,ice,cream,summer,afternoon,beach,friends,sand,ocean,water,relax,happiness,lunch,barbeque,lunch,volleyball,scenic,heat,night,movies,friends,halloween,horror,frightening,popcorn,theater,dinner,midnight,fall,season,leaves,orange,red,yellow,cold,breezy,winter,cold,house,inside,warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,,water,drink,tea,cup,bottle,fountain,pen,writing,school,books,class,student,teacher,university,college,football,ohio,sports,baseball,volleyball,soccer,basketball,exercise,run,walk,lift,weights,heavy,light,phone,blue,apple,mac,iphone,cellphone,texting,ocean,sea,water,octopus,creature,starfish,jellyfish,shark,tigershark,bullshark,dinner,fries,movie,harrypotter,wizard,quidditch,brooms,spells,dinner,fries,burgers,shrimp,steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,,house,Chair,Table,Mattress,Sofa,Curtains,Windows,Cats,Dogs,Trees,Birds,Deer,Pinecones,Food,Refrigerator,Stove,Dishwasher,Elation,Joy,Happiness,Misery,Sadness,Depression,Angst,Anxiety,Relief,Meditation,Prayer,Book,Cup,Coffee,Sleep,Rest,Water,Bottle,Drink,pizza,friend,neighbor,street,highway,road,light,day,week,month,neighbor,friend,salve,perfume,cosmetics,fun,sunshine,glory,love,childhood,stories,man,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,,light,bulb,bright,dime,quater,penny,money,cash,rich,poor,die,live,happy,sad,cry,smile,laugh,love,joy,dog,cat,run,sit,walk,cheer,fly,jump,flip,flop,trampoline,kids,crazy,wild,scared,young,old,death,life,melt,hot,fire,flame,fireman,fright,man,woman,boy,girl,computer,laptop,work,busy,peace,calm,feathers,fly,marriage,divorce,love,happiness,peace,calm,brown,style,brown,slick,red,orange,tall,dark,chess,queen,king,pawn,rook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
